comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyjpGmOnC2Q7n9Kk8J4AaABAg,,_4mBMjViD10,False,author_4964,2026-05-25T14:40:04Z,2026-05-25T14:40:04Z,3,Non'e della famiglia di U. Bossi 😂😂😂?,,0,ilmessaggero,author_4964
UgxyIhPzP66Sc2qKGWJ4AaABAg,,_4mBMjViD10,False,author_5366,2026-05-25T18:59:43Z,2026-05-25T18:59:43Z,2,Ma che vergogna immonda questi genitori che vogliono promossi figli totalmente asini e che fanno nulla di nulla,,0,ilmessaggero,author_5366
UgxqDs5d4cmvHW0CK9p4AaABAg,,_4mBMjViD10,False,author_2645,2026-05-25T19:38:49Z,2026-05-25T19:38:49Z,0,"E così ci riempiamo di ritardati viziati Bocciate che fa bene allo spirito! Anche Alberto Angela fu bocciato, non mi pare un asino",,0,ilmessaggero,author_2645
UgxuG6-IQtLTYa_f4hl4AaABAg,,_4mBMjViD10,False,author_5367,2026-05-25T20:24:19Z,2026-05-25T20:24:19Z,2,"Funziona così,se pensi che la scuola sia dalla parte del studente ti sbagli",,0,ilmessaggero,author_5367
UgxuG6-IQtLTYa_f4hl4AaABAg.AXF60ge1FfAAXF9eJDDcAu,UgxuG6-IQtLTYa_f4hl4AaABAg,_4mBMjViD10,True,author_5368,2026-05-25T20:56:05Z,2026-05-25T20:56:05Z,3,"Ma che cavolate scrivi genio? Otto insufficienze, lo sapevano e fanno pure ricorso al Tar? Ma stiamo scherzando?",UgxuG6-IQtLTYa_f4hl4AaABAg,1,ilmessaggero,author_5368
UgxuG6-IQtLTYa_f4hl4AaABAg.AXF60ge1FfAAXFHLoCB5Dd,UgxuG6-IQtLTYa_f4hl4AaABAg,_4mBMjViD10,True,author_5369,2026-05-25T22:03:19Z,2026-05-25T22:03:19Z,4,Li è proprio colpa dell'alunno e dei genitori che lo hanno cresciuto,UgxuG6-IQtLTYa_f4hl4AaABAg,1,ilmessaggero,author_5369
UgyjpGmOnC2Q7n9Kk8J4AaABAg.AXEUcL9M998AXFQZSh7usJ,UgyjpGmOnC2Q7n9Kk8J4AaABAg,_4mBMjViD10,True,author_1895,2026-05-25T23:23:50Z,2026-05-25T23:23:50Z,0,con questo commento pensi di essere meglio?,UgyjpGmOnC2Q7n9Kk8J4AaABAg,1,ilmessaggero,author_1895
UgwN6d_bIIYuRbxm2wB4AaABAg,,_4mBMjViD10,False,author_5370,2026-05-26T03:43:38Z,2026-05-26T03:43:38Z,5,È giusto così,,0,ilmessaggero,author_5370
UgzXA7YAlXPwHB0c7FV4AaABAg,,_4mBMjViD10,False,author_1800,2026-05-26T04:46:18Z,2026-05-26T04:46:44Z,5,"Io sono dsa , con 8 insufficenze che ti aspettavi ?",,0,ilmessaggero,author_1800
Ugy45P6ZVNzg-Cl1Rj94AaABAg,,_4mBMjViD10,False,author_4960,2026-05-26T06:24:07Z,2026-05-26T06:24:07Z,6,Che poi tendono pure ad aiutarti perciò otto insufficienze significa che non ha aperto un libro. l'ammissione alla maturità sarebbe un'ingiustizia per chi ha la DSA eppure riesce a farcela con tanto sforzo.,,0,ilmessaggero,author_4960
