comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgzQSexgMAvB6tIigrp4AaABAg,,P9GHDc1G1CY,False,author_2104,2026-05-21T06:35:33Z,2026-05-21T06:35:33Z,6,Sono fortemente indignata! Verrgogna vergogna vergogna!😡😡😡,,0,corriere_della_sera,author_2104,0
UgzZj5Lrvfcu-xkJdsh4AaABAg,,P9GHDc1G1CY,False,author_3712,2026-05-21T06:36:23Z,2026-05-21T06:36:23Z,3,Kapò,,0,corriere_della_sera,author_3712,1
UgwmGXI-3UQggYtkYv14AaABAg,,P9GHDc1G1CY,False,author_3713,2026-05-21T06:39:07Z,2026-05-21T06:39:07Z,12,Bene,,0,corriere_della_sera,author_3713,0
Ugwbj5a7mlWqiV9RoRB4AaABAg,,P9GHDc1G1CY,False,author_3714,2026-05-21T06:43:46Z,2026-05-21T06:43:46Z,0,"Palestina libera, Iran vendica questi uomini!",,0,corriere_della_sera,author_3714,1
UgylpoACd-Ilfm5LQG94AaABAg,,P9GHDc1G1CY,False,author_3715,2026-05-21T06:44:50Z,2026-05-21T06:44:50Z,18,Quello che è accaduto e una vergogna per tutta L'Europa. E dimostra che tutti i lider  Europei non contano nulla sul piano politico mondiale. 😢,,0,corriere_della_sera,author_3715,0
UgzxqYN9f2Mlt7aEKVR4AaABAg,,P9GHDc1G1CY,False,author_3716,2026-05-21T06:49:18Z,2026-05-21T06:49:18Z,47,"Non sanno fare niente a casa loro e vogliono andare a comandare a casa d'altri,",,0,corriere_della_sera,author_3716,1
UgwOxTuCPuKBWvDgY5x4AaABAg,,P9GHDc1G1CY,False,author_3717,2026-05-21T06:49:32Z,2026-05-21T06:49:32Z,0,😡,,0,corriere_della_sera,author_3717,1
UgylpoACd-Ilfm5LQG94AaABAg.AX3L33H4xcjAX3MOWVzqky,UgylpoACd-Ilfm5LQG94AaABAg,P9GHDc1G1CY,True,author_3718,2026-05-21T06:56:30Z,2026-05-21T06:56:30Z,10,"significa solo una cosa ,che abbiamo troppi imbecilli che non avendo mai lavorato ed avendo soldi da spendere ,vanno in vacanza sperando che tutti siano disposti ad accoglierli con rose e fiori,ma non è cosi,e loro lo sanno!",UgylpoACd-Ilfm5LQG94AaABAg,1,corriere_della_sera,author_3718,1
UgzQSexgMAvB6tIigrp4AaABAg.AX3K-8d-HJkAX3MTuXVHIR,UgzQSexgMAvB6tIigrp4AaABAg,P9GHDc1G1CY,True,author_3719,2026-05-21T06:57:14Z,2026-05-21T06:57:14Z,4,"Indignata? Ma questi ""attivisti"" che fanno solo azione di disturbo e di provocazione in un paese in guerra hanno raggiunto lo scopo . Tutti indignati perché vengono trattati come prigionieri ? Ma gli israeliano non conoscono queste persone , tra loro potrebbero esserci degli attentatori . Chi li finanzia? Un po' di realismo a questi figli di papà non fa male . Svegliatevi da questo inutile se non dannoso atteggiamento di superiorità.  Studiate la storia, informatevi da altri canali . Mettiamo fine alle pagliacciate . Finché l'occidente non aprirà gli occhi sul realtà della Palestina farà il gioco dei terroristi guidati dall'Iran .",UgzQSexgMAvB6tIigrp4AaABAg,1,corriere_della_sera,author_3719,1
UgzlMiO6wR2X7isTfSF4AaABAg,,P9GHDc1G1CY,False,author_3720,2026-05-21T06:59:13Z,2026-05-21T06:59:13Z,2,Da come sta reagendo la politica europea direi che la flotilla ed Hamas hanno vinto. Sono bastati quattro sederi all'aria. I politici europei 😂😂,,0,corriere_della_sera,author_3720,1
