comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzWRvyFm0qg94ZcbuF4AaABAg,,GG1Ts0F8rwg,False,author_3391,2026-05-23T09:00:15Z,2026-05-23T09:00:15Z,19,"Vi ricordate orari precisissimi oggi, fu allora che eravate un po’ confusi.",,0,ilmessaggero,author_3391
UgxlmUk8Xk6gMd8eSYN4AaABAg,,GG1Ts0F8rwg,False,author_5856,2026-05-23T09:20:54Z,2026-05-23T09:20:54Z,4,Il papà dice è sempre dato in casa con me ...booooo,,0,ilmessaggero,author_5856
UgwdZ5EzgHw40i7GpO54AaABAg,,GG1Ts0F8rwg,False,author_5325,2026-05-23T09:31:36Z,2026-05-23T09:31:36Z,5,Chissà cosa vogliono nascondere,,0,ilmessaggero,author_5325
UgwiPw_ra2BDhvSLY_54AaABAg,,GG1Ts0F8rwg,False,author_5857,2026-05-23T09:31:41Z,2026-05-23T09:31:41Z,15,"La signora ferrari si sara' ispirata a l'avvocato lovati quando diceva che stasi era innoccente , non credo a una sola parola che a detto dopo aver letto le lettere che scrisse a stasi",,0,ilmessaggero,author_5857
UgxlmUk8Xk6gMd8eSYN4AaABAg.AX8lVt57tasAX8n5ylyCMJ,UgxlmUk8Xk6gMd8eSYN4AaABAg,GG1Ts0F8rwg,True,author_5857,2026-05-23T09:34:50Z,2026-05-23T09:34:50Z,1,"Si stanno attaccando a l'ora della morte di chiara che fu descritta nel 2007( ma che fu errata,...)",UgxlmUk8Xk6gMd8eSYN4AaABAg,1,ilmessaggero,author_5857
UgwbnaL_B_xi0mMbyWR4AaABAg,,GG1Ts0F8rwg,False,author_449,2026-05-23T10:10:20Z,2026-05-23T10:10:20Z,11,Ormai meglio che taccia e che suo figlio piuttosto vada a farsi interrogare,,0,ilmessaggero,author_449
UgzBoaYgfKsgIJjc4CJ4AaABAg,,GG1Ts0F8rwg,False,author_5489,2026-05-23T10:21:10Z,2026-05-23T10:21:10Z,6,"Dani come mai cambiato idea! Prova sulla tua pelle dovrebbero scrivere a te quelle belle letterine poi colpevole o no purtroppo tuo figlio ha sei problem mentali, se tu sa madre non lo hai capito sei come lui!",,0,ilmessaggero,author_5489
UgxRw9RG2uzWNa0gGeN4AaABAg,,GG1Ts0F8rwg,False,author_1392,2026-05-23T10:23:25Z,2026-05-23T10:23:25Z,12,Ha capito che non conviene accusare stasi con prove futili..,,0,ilmessaggero,author_1392
UgwrIWqjWw-vpDXa6ap4AaABAg,,GG1Ts0F8rwg,False,author_5858,2026-05-23T12:15:58Z,2026-05-23T12:15:58Z,9,La mammina che difende il suo piccolino colpevole,,0,ilmessaggero,author_5858
Ugwmt_OjqQRCB0QcR4V4AaABAg,,GG1Ts0F8rwg,False,author_5859,2026-05-23T12:43:36Z,2026-05-23T12:43:36Z,3,Parla di meno Cornacchia,,0,ilmessaggero,author_5859
UgzozShwGxdF4XzPbFl4AaABAg,,GG1Ts0F8rwg,False,author_5524,2026-05-23T13:03:13Z,2026-05-23T13:03:13Z,7,E si sarà cambiato a casa della nonna,,0,ilmessaggero,author_5524
UgzclYYljjBlmcwurCN4AaABAg,,GG1Ts0F8rwg,False,author_5860,2026-05-23T13:30:41Z,2026-05-23T13:30:41Z,0,Sta donna mi fa vomitare,,0,ilmessaggero,author_5860
UgxxOaQEEeZeQQmVaTN4AaABAg,,GG1Ts0F8rwg,False,author_5159,2026-05-23T16:13:21Z,2026-05-23T16:13:21Z,0,"E 🚒🚒🚒, dov' era ??!!!!",,0,ilmessaggero,author_5159
UgyrAAH0oTAw0igx2tN4AaABAg,,GG1Ts0F8rwg,False,author_1618,2026-05-23T16:19:08Z,2026-05-23T16:19:08Z,2,Falsaaaaaaaaaaa,,0,ilmessaggero,author_1618
UgzEDwRHT0SM-An8N5N4AaABAg,,GG1Ts0F8rwg,False,author_5798,2026-05-23T17:08:46Z,2026-05-23T17:08:46Z,1,Siete ridicoli con questo processo che dura una vita. Tanto c'è chi paga,,0,ilmessaggero,author_5798
UgwXBou4yFszI5MnZkJ4AaABAg,,GG1Ts0F8rwg,False,author_2243,2026-05-23T20:06:32Z,2026-05-23T20:06:32Z,1,Ah...non é piú il carnefice ora? Errore giudiziario anche qui? Fa comodo girare le frittate o usare i casi altrui. Andrànno spiegate le impronte sotto il cadavere della povera ragazza e non solo. Potrebbe essere stata la figlia di tutti anche della Signora,,0,ilmessaggero,author_2243
UgzHe01PViKBd8GddFx4AaABAg,,GG1Ts0F8rwg,False,author_625,2026-05-23T20:32:33Z,2026-05-23T20:32:33Z,0,Il ticket dalla sosta ma io ero lì maio ero la non l'avete ancora finita di dire coglionate.famiglia sempio.,,0,ilmessaggero,author_625
UgzLdBDBs6ox2PY64Q94AaABAg,,GG1Ts0F8rwg,False,author_625,2026-05-23T20:33:48Z,2026-05-23T20:33:48Z,1,In galera a prendere il sole a cubetti.tu ti consegni.e basta.,,0,ilmessaggero,author_625
UgyCa8TI05At2SEa30B4AaABAg,,GG1Ts0F8rwg,False,author_5312,2026-05-23T21:01:33Z,2026-05-23T21:01:33Z,1,Ma ancora parla??,,0,ilmessaggero,author_5312
UgxZf9yBv09WVdQOae94AaABAg,,GG1Ts0F8rwg,False,author_5861,2026-05-23T23:59:34Z,2026-05-23T23:59:34Z,1,E meglio che questi si mettono d'accordo sulle loro bugie neanche un po furbi non lo sono,,0,ilmessaggero,author_5861
UgycJixctBAUalGmcFJ4AaABAg,,GG1Ts0F8rwg,False,author_5862,2026-05-24T07:35:01Z,2026-05-24T07:35:01Z,0,Dichiarazione imbarazzante più parlano più si inguaiano,,0,ilmessaggero,author_5862
UgwHDjRN5MczWZ4ZVP14AaABAg,,GG1Ts0F8rwg,False,author_4263,2026-05-24T07:48:16Z,2026-05-24T07:48:16Z,0,Iorario ricordate bene e poi si andò a pulire dalla nonna signora la finisca e si stia zitta per sempre,,0,ilmessaggero,author_4263
UgwThoEx3Q9_Al42kVF4AaABAg,,GG1Ts0F8rwg,False,author_5863,2026-05-24T07:53:02Z,2026-05-24T07:53:02Z,0,Io non lo so perché finché non lo metto in carcere e fanno il processo.... però se Stasi è stato condannato e non è stato lui io spero che Sempio oltre alla condanna senza appello per Chiara Poggi si becca anche gli anni che Stasi sta passando in carcere.,,0,ilmessaggero,author_5863
UgxzOC6y__6Mv_3UjZZ4AaABAg,,GG1Ts0F8rwg,False,author_5864,2026-05-24T13:03:09Z,2026-05-24T13:03:09Z,1,Era troppo presa con l'amante 😅,,0,ilmessaggero,author_5864
UgztxpJETRe13jLnecR4AaABAg,,GG1Ts0F8rwg,False,author_5865,2026-05-24T16:30:38Z,2026-05-24T16:30:38Z,1,ANCORA!!!! MA COME SI FA A DIFFENDERLO CHE MADRE!!!!!,,0,ilmessaggero,author_5865
