comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw8s9J0pXrkxupxPw54AaABAg,,GdYJoyoodCA,False,author_86,2026-05-26T15:37:21Z,2026-05-26T15:37:21Z,0,Ciaoo😊,,0,repubblica,author_86
Ugx_JCsPoMDvwekrncl4AaABAg,,GdYJoyoodCA,False,author_30,2026-05-26T15:43:03Z,2026-05-26T15:43:03Z,0,Onore ai vincitori!!! Vedremo come governerete.,,0,repubblica,author_30
UgyY5rEJQAi74Lk7beN4AaABAg,,GdYJoyoodCA,False,author_717,2026-05-26T15:43:28Z,2026-05-26T15:43:28Z,0,😂😂😂😂,,0,repubblica,author_717
UgyMWY2-Q3AuNpfq2n54AaABAg,,GdYJoyoodCA,False,author_718,2026-05-26T16:19:55Z,2026-05-26T16:20:06Z,0,Devi fare fuori AlTajani Netajani Al Ghiorghio ....non vogliamo i fascisti emiri califfi al governo di Emirati Arabi di Merdasat.....,,0,repubblica,author_718
UgzF6L9NmxF_koVzlS14AaABAg,,GdYJoyoodCA,False,author_92,2026-05-26T16:37:49Z,2026-05-26T16:37:49Z,0,"Almeno mi consolo ,auguri e buon lavoro di vero cuore",,0,repubblica,author_92
UgzxHBSodAvJM3HHDLR4AaABAg,,GdYJoyoodCA,False,author_10,2026-05-26T16:45:14Z,2026-05-26T16:45:14Z,2,Accenderò un cero per Pistoiesi😂😂😂,,0,repubblica,author_10
Ugzxbfe3KJplSXqM-mR4AaABAg,,GdYJoyoodCA,False,author_526,2026-05-26T17:02:02Z,2026-05-26T17:02:02Z,5,"Quindi se avessero vinto i suoi avversari, avrebbe vinto la disonestà? Minchia non ce la fate proprio a rispettare chi la pensa diversamente! È incredibile, ormai avete introiettato un lessico veramente offensivo e altezzoso!",,0,repubblica,author_526
UgwAK-F8PY-btDx3FgB4AaABAg,,GdYJoyoodCA,False,author_292,2026-05-26T17:07:47Z,2026-05-26T17:07:47Z,0,Quale onesta' ? Sotto la suola delle scarpe.,,0,repubblica,author_292
Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHKZqzosws,Ugzxbfe3KJplSXqM-mR4AaABAg,GdYJoyoodCA,True,author_719,2026-05-26T17:09:56Z,2026-05-26T17:09:56Z,0,"Sono d'accordo con te. Ma dai maggiori esponenti di FDI sono stati pronunciati discorsi discordanti, mendaci e di conseguenza disonesti. Ovviamente ciò va a intaccare l'immagine di FDI. Questo perché l'attenzione è caduta su di loro dal momento che sono al governo. Sono d'accordo con te nel dire che non si può dire che la sinistra sia più onesta della destra.",Ugzxbfe3KJplSXqM-mR4AaABAg,1,repubblica,author_719
Ugwz9GEfGE15aP3zDvR4AaABAg,,GdYJoyoodCA,False,author_144,2026-05-26T17:17:35Z,2026-05-26T17:17:35Z,0,Che fallimento il centro sinistra a queste elezioni,,0,repubblica,author_144
Ugz8_a7LhyCpCqFho5h4AaABAg,,GdYJoyoodCA,False,author_720,2026-05-26T17:38:28Z,2026-05-26T17:38:28Z,0,Come regalo lo manderanno a fare una gita a Venezia 😂😂😂😂hahahhahahahahha 😂😂😂😂,,0,repubblica,author_720
Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHOFE7NeLt,Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHKZqzosws,GdYJoyoodCA,True,author_526,2026-05-26T17:42:04Z,2026-05-26T18:28:55Z,1,"@author_719 secondo me l'Italia non é un Paese ""di destra"". La destra sta vincendo sfruttando l'astensionismo. Il punto é proprio questo: molti elettori moderati piuttosto che votare i salotti di gente con la puzza sotto il naso che guarda dall'alto in basso, non si reca alle urne.",Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHKZqzosws,2,repubblica,author_526
UgwAK-F8PY-btDx3FgB4AaABAg.AXHKK28DJIjAXHOyt9gbnM,UgwAK-F8PY-btDx3FgB4AaABAg,GdYJoyoodCA,True,author_119,2026-05-26T17:48:26Z,2026-05-26T17:48:26Z,0,Si vede che sono stati troppo bene con l'amministrazione uscente... 😊😂,UgwAK-F8PY-btDx3FgB4AaABAg,1,repubblica,author_119
UgwetPLxv6_y_x4QzUp4AaABAg,,GdYJoyoodCA,False,author_721,2026-05-26T18:18:52Z,2026-05-26T18:18:52Z,0,😂😂😂😂 Faranno festa con Mustafà 😂😂😂😂😂😂😂 cuscus e camel 😂😂😂😂,,0,repubblica,author_721
Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHSv2gsmOq,Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHOFE7NeLt,GdYJoyoodCA,True,author_129,2026-05-26T18:22:52Z,2026-05-26T18:22:52Z,0,"@user se forse chi non vota è ancor più di, destra.... Mi sorge il dubbio",Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHOFE7NeLt,3,repubblica,author_129
Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHTRvKa4vu,Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHOFE7NeLt,GdYJoyoodCA,True,author_526,2026-05-26T18:27:30Z,2026-05-26T18:29:08Z,0,"@author_129 una parte sicuramente! Però secondo me il grosso appartiene al ""campo"" dei moderati; infatti dall'astensione ci rimettono Partito Democratico e Forza Italia in primis, a scapito delle ali più estreme sia a dx che a sx.",Ugzxbfe3KJplSXqM-mR4AaABAg.AXHJevTQiuXAXHSv2gsmOq,4,repubblica,author_526
UgzxHBSodAvJM3HHDLR4AaABAg.AXHHjtdi6ebAXHVoJeT_Oq,UgzxHBSodAvJM3HHDLR4AaABAg,GdYJoyoodCA,True,author_722,2026-05-26T18:48:10Z,2026-05-26T18:48:10Z,0,Grazie amico..ti assicuro che visto di persona fa' più disgusto che in video..,UgzxHBSodAvJM3HHDLR4AaABAg,1,repubblica,author_722
UgwM2jlQg7pGflhZq9x4AaABAg,,GdYJoyoodCA,False,author_723,2026-05-26T18:53:37Z,2026-05-26T18:53:37Z,0,"Solite promesse della sx ,gli hanno promesso tutto e di piu' , poi la gente che li ha votati lo.prenderanno sempre nel c,,,,o come a prato , tra mafia cinese e clandestini",,0,repubblica,author_723
UgyKs38hSJRe5k87a_N4AaABAg,,GdYJoyoodCA,False,author_361,2026-05-27T06:14:35Z,2026-05-27T06:14:35Z,0,evviva !!!!!!!! La Meloni ha le ore contate !!!!!! Ma fatermi il piacere. Sincerità Onestà ma BASTA,,0,repubblica,author_361
Ugzdh-s_-749zlnAi9t4AaABAg,,GdYJoyoodCA,False,author_134,2026-05-27T08:26:59Z,2026-05-27T08:26:59Z,0,😂😂😂😂 i pagliacci,,0,repubblica,author_134
UgyWS5wzzlDvl0vFuXV4AaABAg,,GdYJoyoodCA,False,author_724,2026-05-27T09:45:06Z,2026-05-27T09:45:06Z,0,dando le case gratis agli stranieri per i voti come fanno ovunque dove ck siete voi...,,0,repubblica,author_724
Ugx1X0_YUOweQZDGOU14AaABAg,,GdYJoyoodCA,False,author_173,2026-05-27T12:04:54Z,2026-05-27T12:04:54Z,0,Sicuriiiiiiiii.Auguriiiii,,0,repubblica,author_173
UgwFkVO9e3Qq8viLh_F4AaABAg,,GdYJoyoodCA,False,author_725,2026-05-28T08:56:18Z,2026-05-28T08:56:18Z,0,Fra un mese si lamentano che lo hanno votato,,0,repubblica,author_725
