comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwhnSqu3zP9GZLtncN4AaABAg,,fN9DcuyBY_M,False,author_2255,2026-05-25T06:21:59Z,2026-05-25T06:21:59Z,0,Fanculo deficiente traditore cubano,,0,repubblica,author_2255,1
UgxN02caOLwVnLlxhxp4AaABAg,,fN9DcuyBY_M,False,author_53,2026-05-25T06:30:16Z,2026-05-25T06:30:16Z,0,Di Terroristi e Jihadisti ci si può fidare???? Si può trattare con chi ci vuole sterminare come obbligo religioso e morale?,,0,repubblica,author_53,1
Ugyb1vyJG-O-WHnZtp14AaABAg,,fN9DcuyBY_M,False,author_2256,2026-05-25T06:33:28Z,2026-05-25T06:33:28Z,1,Insisti che prendi il posto di Castro da Presidente di Cuba.,,0,repubblica,author_2256,0
UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDc7Kfe5aR,UgxN02caOLwVnLlxhxp4AaABAg,fN9DcuyBY_M,True,author_2257,2026-05-25T06:35:06Z,2026-05-25T06:35:06Z,2,"Piuttosto mi chiederei se ci si possa fidare degli statunitensi; visto che, a differenza di quelli che lei definisce arbitrariamente _jihadisti e terroristi_ , sono proprio loro a stracciare gli accordi quando questi non ne hanno più convenienza.",UgxN02caOLwVnLlxhxp4AaABAg,1,repubblica,author_2257,0
UgxpMGztf-igLbLxgk94AaABAg,,fN9DcuyBY_M,False,author_2258,2026-05-25T06:36:21Z,2026-05-25T06:36:21Z,0,Ma ci mancava sto cazzone,,0,repubblica,author_2258,1
UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDcnWG82od,UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDc7Kfe5aR,fN9DcuyBY_M,True,author_53,2026-05-25T06:41:00Z,2026-05-25T06:41:00Z,1,​author_7499 per la testimonianza di sincera ottusità ignoranza e alienazione di cui vive la sinistra incapace di governare in democrazia e che vorrebbe venderci al terrorismo finanziato da Obama Biden soros e scagnozzi europei per destabilizzare l'Europa.,UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDc7Kfe5aR,2,repubblica,author_53,1
Ugwt1nc2T4xQmWjQRuV4AaABAg,,fN9DcuyBY_M,False,author_2259,2026-05-25T06:59:00Z,2026-05-25T06:59:00Z,4,Risolveremo in un altro modo cioè proveranno a bombardare l'Iran e riceveranno una lezione che ricorderanno per generazioni compreso i criminali israeliani,,0,repubblica,author_2259,1
UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDfLYy2aJb,UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDc7Kfe5aR,fN9DcuyBY_M,True,author_2260,2026-05-25T07:03:16Z,2026-05-25T07:03:16Z,0,"author_2257 esatto, questo crede alle favole",UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDc7Kfe5aR,2,repubblica,author_2260,1
UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDfWeojLAc,UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDcnWG82od,fN9DcuyBY_M,True,author_2261,2026-05-25T07:04:47Z,2026-05-25T07:04:47Z,1,"author_53 Terrorismo finanziato anche da Netanyahu, non ce lo dimentichiamo.",UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDcnWG82od,3,repubblica,author_2261,1
UgzwzLYVGp6Lw4XxwOl4AaABAg,,fN9DcuyBY_M,False,author_2262,2026-05-25T07:07:33Z,2026-05-25T07:07:33Z,1,"Comunque c'è un ignoranza che mi fa davvero paura , nessuno si ricorda il vero problema che ha Israele in quel territorio.",,0,repubblica,author_2262,1
Ugy0ijYSq6RBULqUs7p4AaABAg,,fN9DcuyBY_M,False,author_760,2026-05-25T07:11:40Z,2026-05-25T07:11:40Z,0,Mai sentite cosi tante puttanate da quando i miei genitori mi chiedevano come va a scuola,,0,repubblica,author_760,1
UgxHgXuVufc-zfIT2bR4AaABAg,,fN9DcuyBY_M,False,author_2166,2026-05-25T07:12:17Z,2026-05-25T07:12:17Z,0,Italiani fascisti antisemita,,0,repubblica,author_2166,1
Ugxdu8Y6e-H9bZLhtGh4AaABAg,,fN9DcuyBY_M,False,author_709,2026-05-25T07:12:35Z,2026-05-25T07:12:35Z,6,Avete avvisato almeno l Iran ? 😂😂😂,,0,repubblica,author_709,0
UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDgV48xlLY,UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDcnWG82od,fN9DcuyBY_M,True,author_53,2026-05-25T07:13:18Z,2026-05-25T07:13:18Z,0,​author_2261😂😂😂 più ignoranti dei terroristi che difendono. Ignari di essere i burattini di criminali senza scrupoli né dignità. Che pena fanno. Ti compatisco.,UgxN02caOLwVnLlxhxp4AaABAg.AXDbZwBPKSqAXDfWeojLAc,4,repubblica,author_53,1
Ugxp7RIaO2Y39m3NSup4AaABAg,,fN9DcuyBY_M,False,author_2263,2026-05-25T07:16:35Z,2026-05-25T07:16:35Z,0,"Tanto crollerete, siete entrati in una guerra che non potete vincere, e Isramerda verrà giù con voi... L'unica nota positiva è che poi sarà divertentissimo vedervi fare le vittime, organizzerò delle serate con amici per guardare i video dove piangete 😂",,0,repubblica,author_2263,1
UgzLumUbA6Om__MhfK94AaABAg,,fN9DcuyBY_M,False,author_2264,2026-05-25T07:23:44Z,2026-05-25T07:23:44Z,1,"Stanno prendendo in giro il mondo gli usa, c'è l' accordo .... E poi Israele avrà il diritto di difendersi poi sappiamo quando ci sarà chiaramente una provocazione degli ebrei , allora tutti a dare ragione agli israeliani.... Vero ?",,0,repubblica,author_2264,1
