comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugxm65CzNGcINoHA99h4AaABAg,,8T5oxeWyCgg,False,author_4191,2026-05-18T12:27:32Z,2026-05-18T12:27:32Z,0,"Mi dispiace moltissimo per l’accaduto. Purtroppo questo genere di notizie, legate a morti durante immersioni sportive e ricreative, si sentono sempre più spesso. Riesco a immaginare il dolore e la sofferenza delle famiglie, alle quali desidero inviare le mie più sincere condoglianze.
Tengo però a precisare un aspetto fondamentale. Parlo da sommozzatore professionista con circa 30 anni di esperienza e, attualmente, con il ruolo di supervisor in immersioni offshore dove operiamo anche oltre i 300 metri di profondità, con permanenze in saturazione fino a 28 giorni. Nel nostro settore ogni immersione viene pianificata nel dettaglio: studio dei gas, miscele controllate e garantite, procedure rigorose e sistemi di sicurezza che ci permettono di lavorare con standard elevatissimi.
Proprio per questo mi permetto di dare alcuni consigli a chi desidera avvicinarsi al mondo della subacquea ricreativa e scoprire i fondali marini.
Prima di tutto: immergetevi sempre in sicurezza e in modo controllato. Affidatevi esclusivamente a persone esperte, qualificate e preparate, che sappiano gestire non solo l’immersione, ma soprattutto eventuali emergenze.
Il consiglio più importante che sento di dare è questo: non serve andare a 30, 40 o 50 metri per rischiare la vita. Le meraviglie del mare possono essere viste e vissute anche a 6, 7, 8 o 10 metri di profondità. L’obiettivo deve essere vivere il mare, divertirsi e soprattutto tornare a casa.
Purtroppo oggi si tende sempre più spesso a spingersi oltre i limiti, effettuando immersioni profonde e, cosa ancora più pericolosa, immersioni ripetitive durante la stessa giornata. Nell’ambito professionale queste pratiche vengono gestite con protocolli rigidissimi proprio perché rappresentano uno dei rischi maggiori.
Cari subacquei sportivi, fate molta attenzione. Non lasciatevi convincere con leggerezza a fare due o tre immersioni profonde nello stesso giorno senza adeguata pianificazione e controllo. È proprio lì che il rischio aumenta enormemente e dove l’incidente può essere dietro l’angolo.
Rinnovo ancora una volta le mie condoglianze alle vittime e alle loro famiglie. A tutti coloro che amano il mare e la subacquea dico soltanto questo: divertitevi, esplorate, emozionatevi… ma fatelo sempre con prudenza e con l’obiettivo più importante di tutti, tornare a casa sani e salvi.",,0,corriere_della_sera,author_4191,0
Ugzb-EOwf5ylrupRj_h4AaABAg,,8T5oxeWyCgg,False,author_4192,2026-05-18T14:23:27Z,2026-05-18T14:23:27Z,1,Le solite cose all' italiana che dire !!!!,,0,corriere_della_sera,author_4192,1
UgyWIb3WhiARfExLb-Z4AaABAg,,8T5oxeWyCgg,False,author_4193,2026-05-18T15:17:59Z,2026-05-18T15:17:59Z,5,Nessuno lo sa......ma sott'acqua ci sono cartelli del limite dei 30 metri quelli dei 50 e via così.. dovrebbero guardare i brevetti subacquei padi perché tutti prendono quelli da 18 metri ma poi vanno dove e quando gli pare con condizioni meteo avverse il brevetto fipsas e più severo e completo,,0,corriere_della_sera,author_4193,1
Ugx2oObkPRTJQjuBUGx4AaABAg,,8T5oxeWyCgg,False,author_348,2026-05-18T19:06:31Z,2026-05-18T19:06:31Z,0,🤥🤥🤥🤥,,0,corriere_della_sera,author_348,1
Ugz4K8Tnne802GNFTiB4AaABAg,,8T5oxeWyCgg,False,author_3337,2026-05-19T05:00:55Z,2026-05-19T05:00:55Z,0,🙏🙏🙏🙏🙏🙏,,0,corriere_della_sera,author_3337,0
UgxixIS4Dy3kp0eOgKN4AaABAg,,8T5oxeWyCgg,False,author_2864,2026-05-19T05:46:33Z,2026-05-19T05:46:33Z,0,non sa mai niente nessuno,,0,corriere_della_sera,author_2864,1
UgzcgxrjsPzb13Y0AYB4AaABAg,,8T5oxeWyCgg,False,author_4194,2026-05-19T08:40:23Z,2026-05-19T08:40:23Z,0,È ovvio che laggiù ci sono arrivati perché costretti. Sicuramente per sfuggire ad un attacco di squali o qualcos'altro. È impossibile che 5 esperti facciano tutti una follia del genere. Impossibile.,,0,corriere_della_sera,author_4194,0
UgxixIS4Dy3kp0eOgKN4AaABAg.AWz4nVVe4jIAWzXgLAtkWW,UgxixIS4Dy3kp0eOgKN4AaABAg,8T5oxeWyCgg,True,author_125,2026-05-19T09:58:59Z,2026-05-19T09:58:59Z,0,Tu sai qualcosa invece?,UgxixIS4Dy3kp0eOgKN4AaABAg,1,corriere_della_sera,author_125,0
Ugzb-EOwf5ylrupRj_h4AaABAg.AWxR9V9gVvjAWzXiFyFV_2,Ugzb-EOwf5ylrupRj_h4AaABAg,8T5oxeWyCgg,True,author_125,2026-05-19T09:59:15Z,2026-05-19T09:59:15Z,0,Non insultare il tuo paese❤,Ugzb-EOwf5ylrupRj_h4AaABAg,1,corriere_della_sera,author_125,0
Ugzb-EOwf5ylrupRj_h4AaABAg.AWxR9V9gVvjAWzYuZu7DXI,Ugzb-EOwf5ylrupRj_h4AaABAg.AWxR9V9gVvjAWzXiFyFV_2,8T5oxeWyCgg,True,author_4192,2026-05-19T10:09:40Z,2026-05-19T10:09:40Z,1,​Dai smettiamola di far finta di essere i migliori,Ugzb-EOwf5ylrupRj_h4AaABAg.AWxR9V9gVvjAWzXiFyFV_2,2,corriere_della_sera,author_4192,1
UgxixIS4Dy3kp0eOgKN4AaABAg.AWz4nVVe4jIAWzZdMXeVTW,UgxixIS4Dy3kp0eOgKN4AaABAg.AWz4nVVe4jIAWzXgLAtkWW,8T5oxeWyCgg,True,author_2864,2026-05-19T10:16:03Z,2026-05-19T10:16:03Z,1,​author_7252 lo scaricabarile è uno sport molto praticato,UgxixIS4Dy3kp0eOgKN4AaABAg.AWz4nVVe4jIAWzXgLAtkWW,2,corriere_della_sera,author_2864,1
