comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugzl3jnZ0OtZCduGsdN4AaABAg,,LYvh0ext_w4,False,author_161,2026-05-22T15:01:06Z,2026-05-22T15:01:06Z,6,E magari ...😂😂😂😂,,0,ilmessaggero,author_161,0
UgwbadskeesREYU7IKd4AaABAg,,LYvh0ext_w4,False,author_5942,2026-05-22T15:01:57Z,2026-05-22T15:01:57Z,1,Ad alcuni sinistri starebbe proprio bene,,0,ilmessaggero,author_5942,1
UgyJyV4ewJiffKM-jt14AaABAg,,LYvh0ext_w4,False,author_339,2026-05-22T15:08:17Z,2026-05-22T15:08:17Z,8,Grande la consigliera,,0,ilmessaggero,author_339,0
UgzGCjNDPZ5ovbOOumN4AaABAg,,LYvh0ext_w4,False,author_5943,2026-05-22T15:09:18Z,2026-05-22T15:09:18Z,0,"Quanto passa schlein tutti i autisti ralentana per godere la sua bellezza  così e sicura ,😂😂😂😂😂😂.",,0,ilmessaggero,author_5943,1
Ugw1ZolMW0UYWZfEgZJ4AaABAg,,LYvh0ext_w4,False,author_5944,2026-05-22T15:10:50Z,2026-05-22T15:10:50Z,2,anche io glieli auguro con tutto il cuore,,0,ilmessaggero,author_5944,1
UgyTlVXWB3jTX4R-0X94AaABAg,,LYvh0ext_w4,False,author_5945,2026-05-22T15:11:18Z,2026-05-22T15:11:18Z,14,Non ne possiamo più dell ipocrisia,,0,ilmessaggero,author_5945,0
UgyLJ1x2_Qvthvqv0RF4AaABAg,,LYvh0ext_w4,False,author_5946,2026-05-22T15:12:21Z,2026-05-22T15:12:21Z,0,Pensavo fosse già stata investita.,,0,ilmessaggero,author_5946,1
UgxT4VfX3qFMePDeDDx4AaABAg,,LYvh0ext_w4,False,author_5947,2026-05-22T15:14:27Z,2026-05-22T15:14:27Z,4,Che bassezza morale! Per fortuna è  un personaggio politico che dovrebbe avere una rettitudine e una  etica superiore alla media per poter gestire al meglio  la nostra bella Italia!,,0,ilmessaggero,author_5947,0
UgxQMjWdKchqwWYESCF4AaABAg,,LYvh0ext_w4,False,author_433,2026-05-22T15:15:44Z,2026-05-22T15:15:44Z,0,"Non corre nessun rischio. Le pantegane amano la notte, quando il traffico e` minimo.",,0,ilmessaggero,author_433,1
UgzFmYbXGa2-WipSE1N4AaABAg,,LYvh0ext_w4,False,author_264,2026-05-22T15:16:34Z,2026-05-22T15:16:34Z,0,Auguro a ciuchino di tornare a brucare erba in svizzera..... casa,,0,ilmessaggero,author_264,1
UgwbQxhoaK7QM6vP17t4AaABAg,,LYvh0ext_w4,False,author_5948,2026-05-22T15:16:36Z,2026-05-22T15:16:36Z,1,Una barzelletta😂😂😂😂,,0,ilmessaggero,author_5948,1
Ugylgc6W6192-T2wxP54AaABAg,,LYvh0ext_w4,False,author_5268,2026-05-22T15:16:55Z,2026-05-22T15:16:55Z,8,ma la consigliera dovrebbe stare attenta lei quando và in giro.,,0,ilmessaggero,author_5268,1
UgwofnZutrvBNUP97aR4AaABAg,,LYvh0ext_w4,False,author_5949,2026-05-22T15:17:10Z,2026-05-22T15:17:10Z,0,Sono dei poveri fascisti,,0,ilmessaggero,author_5949,1
UgzNsVUVd-9SGW9FUzx4AaABAg,,LYvh0ext_w4,False,author_4033,2026-05-22T15:17:18Z,2026-05-22T15:17:18Z,9,"Ehhhhhh dai commenti si capisce il livello degli italiani, badate che non capiti ai vostri figli,o coniugi,o genitori...sai il karma ritorna...😂",,0,ilmessaggero,author_4033,1
UgwicMewhNgWcaIqayZ4AaABAg,,LYvh0ext_w4,False,author_5950,2026-05-22T15:17:52Z,2026-05-22T15:17:52Z,4,Se sei di sinistra non ti sospendeno,,0,ilmessaggero,author_5950,1
Ugybtx_VnjGh107YzWx4AaABAg,,LYvh0ext_w4,False,author_5951,2026-05-22T15:19:10Z,2026-05-22T15:19:10Z,3,Non riesco a comprendere come una persona svizzera debba comandare un partito dalle radici operaie italiane.non credo che a Berna nel governo vi sia qualche nostro connazionale .,,0,ilmessaggero,author_5951,1
UgzsvtsATYAJXn0o8c94AaABAg,,LYvh0ext_w4,False,author_437,2026-05-22T15:21:03Z,2026-05-22T15:21:03Z,0,"purtroppo anche se non si augura il male a nessuno nasce spontaneo augurare a lei quello che è successo a Modena, nella strage una signora a perso le gambe e ancora difendo o questi islamici terrorista",,0,ilmessaggero,author_437,1
Ugzl3jnZ0OtZCduGsdN4AaABAg.AX6ndnPLoawAX6px5iqizR,Ugzl3jnZ0OtZCduGsdN4AaABAg,LYvh0ext_w4,True,author_5952,2026-05-22T15:21:13Z,2026-05-22T15:21:13Z,1,Leghista troglodita,Ugzl3jnZ0OtZCduGsdN4AaABAg,1,ilmessaggero,author_5952,1
Ugwx7J23ZDQ5n1qrXAZ4AaABAg,,LYvh0ext_w4,False,author_431,2026-05-22T15:21:17Z,2026-05-22T15:21:17Z,1,"Voglio mettermi sullo stesso piano della signora leghista:
-Dice così perché a lei non potrebbe mai accadere.
Infatti una macchina lanciata a folle velocità, sul suo corpo(ehm) rimbalzerebbe.
Ed anche un autoarticolato a pieno carico....",,0,ilmessaggero,author_431,1
Ugwft5MHZkOhrpHvxhh4AaABAg,,LYvh0ext_w4,False,author_5953,2026-05-22T15:24:02Z,2026-05-22T15:24:02Z,2,Una volta c'era più rispetto che schifo,,0,ilmessaggero,author_5953,1
