comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxikHRp2pIWWqcN3v94AaABAg,,3VlhooAUxEI,False,author_6038,2026-05-22T15:02:27Z,2026-05-22T15:02:27Z,15,Se è  nato in ITALIA ancora peggio vuole che neppure nascendo.in Italia  ..cambiano la loro mentalità islamica,,0,ilmessaggero,author_6038,1
UgwtZvFdLpa4qjwLhfh4AaABAg,,3VlhooAUxEI,False,author_6039,2026-05-22T15:03:54Z,2026-05-22T15:03:54Z,4,Ma va a cagher....,,0,ilmessaggero,author_6039,1
UgynAg_MyOHZwmn38CN4AaABAg,,3VlhooAUxEI,False,author_6040,2026-05-22T15:04:08Z,2026-05-22T15:04:08Z,1,No non lo sei. Basta stupidaggini,,0,ilmessaggero,author_6040,1
UgwxGdQdcQLWvXNz9St4AaABAg,,3VlhooAUxEI,False,author_6041,2026-05-22T15:04:42Z,2026-05-22T15:04:42Z,0,"Non 6 italiano,stronzo.",,0,ilmessaggero,author_6041,1
Ugx2YbP1LM86UculvSR4AaABAg,,3VlhooAUxEI,False,author_3939,2026-05-22T15:05:34Z,2026-05-22T15:05:34Z,0,Punto di domanda se dici di essere nato in Italia perché fai queste cose agli italiani e hai dichiarato tutto il resto Sei un povero mentecato tornatene nella tua nazione ha seguito i parenti mi fai solo schifo,,0,ilmessaggero,author_3939,1
UgwWK59baAzGXNJh9FV4AaABAg,,3VlhooAUxEI,False,author_703,2026-05-22T15:05:57Z,2026-05-22T15:05:57Z,0,"Merdoso schifoso come ttt la tua famiglia!
Il cancro  deve venire a tua madre",,0,ilmessaggero,author_703,1
UgyT1NWhmUxMNRixOnF4AaABAg,,3VlhooAUxEI,False,author_6042,2026-05-22T15:06:06Z,2026-05-22T15:06:06Z,3,Non deve vedere più la luce del sole,,0,ilmessaggero,author_6042,1
Ugxae0bQVIeYQZ8w8Xx4AaABAg,,3VlhooAUxEI,False,author_6043,2026-05-22T15:06:17Z,2026-05-22T15:06:17Z,8,Se un gatto nasce in una stalla non vuol dire che è un cavallo....,,0,ilmessaggero,author_6043,1
Ugx_mAEaPvk17R3eC3t4AaABAg,,3VlhooAUxEI,False,author_6044,2026-05-22T15:08:32Z,2026-05-22T15:08:32Z,0,Tu non sei un Italiano  sei in musulmano cattivo e odioso   mi dispiace e solo che non abbiano fatto a te la stessa cosa ...,,0,ilmessaggero,author_6044,1
UgwtZvFdLpa4qjwLhfh4AaABAg.AX6nyE9TjFyAX6pCAFgvJA,UgwtZvFdLpa4qjwLhfh4AaABAg,3VlhooAUxEI,True,author_3352,2026-05-22T15:14:41Z,2026-05-22T15:14:41Z,2,Senza carta igienica😂,UgwtZvFdLpa4qjwLhfh4AaABAg,1,ilmessaggero,author_3352,0
UgxP01R5zPOV1nZGwg54AaABAg,,3VlhooAUxEI,False,author_6045,2026-05-22T15:14:59Z,2026-05-22T15:14:59Z,6,"Quando l hanno braccato, immobilizzato lo dovevano finire lì sul posto in secondo e nn esisteva più!",,0,ilmessaggero,author_6045,1
Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX700GyDCJa,Ugxae0bQVIeYQZ8w8Xx4AaABAg,3VlhooAUxEI,True,author_75,2026-05-22T16:57:54Z,2026-05-22T16:57:54Z,0,fantastica,Ugxae0bQVIeYQZ8w8Xx4AaABAg,1,ilmessaggero,author_75,0
UgwtZvFdLpa4qjwLhfh4AaABAg.AX6nyE9TjFyAX76dssYCFw,UgwtZvFdLpa4qjwLhfh4AaABAg.AX6nyE9TjFyAX6pCAFgvJA,3VlhooAUxEI,True,author_3988,2026-05-22T17:55:53Z,2026-05-22T17:55:53Z,2,​author_7059 nemmeno erba o foglie 😂😂😂😂,UgwtZvFdLpa4qjwLhfh4AaABAg.AX6nyE9TjFyAX6pCAFgvJA,2,ilmessaggero,author_3988,0
Ugz_CPi-vwS5MeCqa7V4AaABAg,,3VlhooAUxEI,False,author_161,2026-05-22T17:59:27Z,2026-05-22T17:59:27Z,1,"Non è che ora gli diamo la medaglia ....😂😂😂
La sinista ci sta a pensare...😂😂😂
Schlein Frattoianni Bonelli Conte si stanno a scannare per averlo nelle proprie file...😢",,0,ilmessaggero,author_161,1
UgxX5objWyFawcND0QN4AaABAg,,3VlhooAUxEI,False,author_3707,2026-05-22T18:25:28Z,2026-05-22T18:25:28Z,1,E sticazzi?sempre delinquente rimane,,0,ilmessaggero,author_3707,1
UgxPaCxTlAFMG1_WUgp4AaABAg,,3VlhooAUxEI,False,author_6046,2026-05-22T19:11:14Z,2026-05-22T19:11:14Z,2,Finirà con una multa  per guida in zona ZTL,,0,ilmessaggero,author_6046,0
UgwTdLilebH0dCNoM8x4AaABAg,,3VlhooAUxEI,False,author_6047,2026-05-22T22:05:55Z,2026-05-22T22:06:25Z,1,"Tu sei solo un bastardo figlio di una p.........a x quello che hai fatto alle persone innocenti,avendo avuto la sfortuna di essere li al momento della tua rabbia di razzismo religioso ed etnico. Spero che la pagherai a dovere.  BASTARDO",,0,ilmessaggero,author_6047,1
Ugzc0Jtu2rCIAzYAO4x4AaABAg,,3VlhooAUxEI,False,author_124,2026-05-23T04:16:00Z,2026-05-23T04:16:00Z,1,Non cambia nulla. Devi lasciare questo mondo. È quello che fai o dici che ti qualifica. La cittadinanza o la residenza non regalano l'immunità per certi reati.,,0,ilmessaggero,author_124,1
Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8Der-Ghvf,Ugxae0bQVIeYQZ8w8Xx4AaABAg,3VlhooAUxEI,True,author_124,2026-05-23T04:16:25Z,2026-05-23T04:16:25Z,0,Vangelo,Ugxae0bQVIeYQZ8w8Xx4AaABAg,1,ilmessaggero,author_124,0
UgyT1NWhmUxMNRixOnF4AaABAg.AX6oDN7jSGYAX8DsragbLs,UgyT1NWhmUxMNRixOnF4AaABAg,3VlhooAUxEI,True,author_124,2026-05-23T04:18:20Z,2026-05-23T04:18:20Z,0,Dovrebbe stare già a gozzovigliare con le 77 vergini,UgyT1NWhmUxMNRixOnF4AaABAg,1,ilmessaggero,author_124,1
UgwtZvFdLpa4qjwLhfh4AaABAg.AX6nyE9TjFyAX8DzVVzl3q,UgwtZvFdLpa4qjwLhfh4AaABAg.AX6nyE9TjFyAX76dssYCFw,3VlhooAUxEI,True,author_124,2026-05-23T04:19:14Z,2026-05-23T04:19:14Z,1,​author_3988 costante e perenne dissenteria,UgwtZvFdLpa4qjwLhfh4AaABAg.AX6nyE9TjFyAX76dssYCFw,3,ilmessaggero,author_124,1
UgxX5objWyFawcND0QN4AaABAg.AX7A1ai8RN0AX8E8XLAUYV,UgxX5objWyFawcND0QN4AaABAg,3VlhooAUxEI,True,author_124,2026-05-23T04:20:37Z,2026-05-23T04:20:37Z,0,"Pure se fosse biondo, con gli occhi azzurri e cristiano.",UgxX5objWyFawcND0QN4AaABAg,1,ilmessaggero,author_124,0
Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8KOfnoIkR,Ugxae0bQVIeYQZ8w8Xx4AaABAg,3VlhooAUxEI,True,author_6048,2026-05-23T05:15:15Z,2026-05-23T05:15:15Z,0,per lo stato italiano se nasci in italia appena sei maggiorenne sei italiano,Ugxae0bQVIeYQZ8w8Xx4AaABAg,1,ilmessaggero,author_6048,0
Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8M7mt17tW,Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8KOfnoIkR,3VlhooAUxEI,True,author_124,2026-05-23T05:30:25Z,2026-05-23T05:30:25Z,1,​author_6048 una stortura ma se vogliamo snaturarci è la strada giusta,Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8KOfnoIkR,2,ilmessaggero,author_124,1
UgyaxTfYTHVSUz_a_zl4AaABAg,,3VlhooAUxEI,False,author_6049,2026-05-23T07:34:16Z,2026-05-23T07:34:16Z,3,"Non serve, non basta, essere nato in Italia, fortunatamente,  per definirsi italiano.",,0,ilmessaggero,author_6049,1
Ugy49DmtZwXSn4kSq394AaABAg,,3VlhooAUxEI,False,author_6050,2026-05-23T08:28:46Z,2026-05-23T08:28:46Z,0,"Ci sono milioni di scarafaggi che nascono in Italia, ma questo non significa che siano Italiani. Sono solo scarafaggi.",,0,ilmessaggero,author_6050,1
UgxCQJUkvK2xOoWNu6B4AaABAg,,3VlhooAUxEI,False,author_6051,2026-05-23T08:59:17Z,2026-05-23T08:59:17Z,1,Italie aux Italiens...😂😂😂❤❤❤❤,,0,ilmessaggero,author_6051,1
Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8jAzHv5PV,Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8KOfnoIkR,3VlhooAUxEI,True,author_6051,2026-05-23T09:00:34Z,2026-05-23T09:00:34Z,0,"​author_7060 l'ha ottenuto all'eta' di 14 anni. Dopo la scuola media, grazie al padre ...",Ugxae0bQVIeYQZ8w8Xx4AaABAg.AX6oEaBjxQMAX8KOfnoIkR,2,ilmessaggero,author_6051,0
Ugzc0Jtu2rCIAzYAO4x4AaABAg.AX8Dbm0DrmuAX8jJxf1DP9,Ugzc0Jtu2rCIAzYAO4x4AaABAg,3VlhooAUxEI,True,author_6051,2026-05-23T09:01:47Z,2026-05-23T09:01:47Z,0,Parla l'emigrante mafioso italiano che si comporta male in Belgio e in Germania,Ugzc0Jtu2rCIAzYAO4x4AaABAg,1,ilmessaggero,author_6051,1
Ugxmx9e2YZemaX0zwap4AaABAg,,3VlhooAUxEI,False,author_6052,2026-05-23T09:55:40Z,2026-05-23T09:55:40Z,1,"Questi soggetti appartengono alla cultura di  estremismo islamico...(!) non cambiano neanche se nascono in paesi diversi dal Paese che li ha ospitati o che li ospita...! Non c'è la possono fare""...!!.😊😊⁉️",,0,ilmessaggero,author_6052,1
Ugxmx9e2YZemaX0zwap4AaABAg.AX8pU_C6LtvAX9FI6i9YOV,Ugxmx9e2YZemaX0zwap4AaABAg,3VlhooAUxEI,True,author_6053,2026-05-23T13:49:54Z,2026-05-23T13:49:54Z,0,"Hai ragione, un cristiano australiano ha ucciso più di 50 musulmani in Nuova Zelanda.",Ugxmx9e2YZemaX0zwap4AaABAg,1,ilmessaggero,author_6053,1
Ugw5jL2CvDmlOxLEFnp4AaABAg,,3VlhooAUxEI,False,author_3140,2026-05-23T18:17:40Z,2026-05-23T18:17:40Z,0,Sei nato in Italia e ci dovevi morire quel giorno,,0,ilmessaggero,author_3140,1
