comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwKL3o0M8JF21-YCRZ4AaABAg,,2zQ2rvy0DZo,False,author_5181,2026-05-24T14:28:16Z,2026-05-24T14:28:16Z,0,❤❤❤❤❤❤❤❤❤❤,,0,ilmessaggero,author_5181,0
UgzbDmMMxbqOmm9k-CB4AaABAg,,2zQ2rvy0DZo,False,author_843,2026-05-24T14:29:12Z,2026-05-24T14:29:12Z,3,Adesso ho capito perché è stata data la notizia.,,0,ilmessaggero,author_843,0
Ugzzd0kJj0U6XaMI1-R4AaABAg,,2zQ2rvy0DZo,False,author_5537,2026-05-24T14:37:30Z,2026-05-24T14:37:46Z,38,Per certa gente non è mai colpa loro devono sempre trovare il modo di ricavarne qualcosa,,0,ilmessaggero,author_5537,1
UgzHv0lod6BatdJ9aH14AaABAg,,2zQ2rvy0DZo,False,author_128,2026-05-24T14:39:12Z,2026-05-24T14:39:12Z,2,Non vince perché é colpa del figlio.,,0,ilmessaggero,author_128,1
Ugyre0p4mETOl2ImMK14AaABAg,,2zQ2rvy0DZo,False,author_778,2026-05-24T14:39:36Z,2026-05-24T14:39:36Z,6,Ma chi se ne frega.,,0,ilmessaggero,author_778,1
UgwerN4SzbPLAv9fZ4p4AaABAg,,2zQ2rvy0DZo,False,author_1625,2026-05-24T14:43:58Z,2026-05-24T14:43:58Z,0,"Ovviamente per lei è normale far arrampicare il figlio sugli elettrodomestici,  come le scimmiette!!! Assurdo....Ovvio che le auguri ogni bene e di riprendersi in fretta😊",,0,ilmessaggero,author_1625,1
UgyjpXH-wUKkKJHJkk54AaABAg,,2zQ2rvy0DZo,False,author_5538,2026-05-24T14:45:57Z,2026-05-24T14:45:57Z,17,L’unica domanda che mi sorge spontanea….. perché diavolo devi prendere un frigorifero grande quanto una casa 😅,,0,ilmessaggero,author_5538,0
UgyE6qlQ8Pk9gQgSyZh4AaABAg,,2zQ2rvy0DZo,False,author_5539,2026-05-24T14:56:49Z,2026-05-24T14:56:49Z,4,"Frigo da 270kg, mi dici il modello? Ma esiste davvero? 🤷‍♂️🤷‍♂️🤷‍♂️🤷‍♂️",,0,ilmessaggero,author_5539,0
UgwGkUkf90mE8xEowAh4AaABAg,,2zQ2rvy0DZo,False,author_5540,2026-05-24T15:01:15Z,2026-05-24T15:01:15Z,0,"Per me questa è suonata ,forse per il trauma ricevuto .",,0,ilmessaggero,author_5540,0
UgwIoNoFpBGT_kiTZbJ4AaABAg,,2zQ2rvy0DZo,False,author_3390,2026-05-24T15:01:35Z,2026-05-24T15:01:35Z,0,Famiglia numerosa,,0,ilmessaggero,author_3390,0
Ugy9mu_uqhUvKplPs-R4AaABAg,,2zQ2rvy0DZo,False,author_5541,2026-05-24T15:18:16Z,2026-05-24T15:18:16Z,0,Poverinahhhh,,0,ilmessaggero,author_5541,0
Ugwd2mxE9TC0fSjr-2p4AaABAg,,2zQ2rvy0DZo,False,author_5542,2026-05-24T15:18:21Z,2026-05-24T15:18:21Z,2,Belin ma cos' è il mio pesa 60😂😂😂,,0,ilmessaggero,author_5542,1
UgwIVvPdgry0tTv715h4AaABAg,,2zQ2rvy0DZo,False,author_5399,2026-05-24T15:22:34Z,2026-05-24T15:22:34Z,0,"Star dei social...quindi vai,filmiamo e documentiamo tutto...ma mica per guadagnare eh...solo perche i miei followers lo devono sapere 😂",,0,ilmessaggero,author_5399,1
Ugy62pcjl2n0BOcDe2J4AaABAg,,2zQ2rvy0DZo,False,author_5543,2026-05-24T15:25:34Z,2026-05-24T15:25:34Z,29,"Se sali sul frigo e si rovescia è colpa degli installatori?
Fenomena",,0,ilmessaggero,author_5543,1
UgxdEXzGSqkLALkdpMt4AaABAg,,2zQ2rvy0DZo,False,author_4879,2026-05-24T15:49:18Z,2026-05-24T15:49:18Z,3,270 kg un frigo?,,0,ilmessaggero,author_4879,0
UgzxRn6Jl5NQQwxn3vF4AaABAg,,2zQ2rvy0DZo,False,author_4879,2026-05-24T15:50:01Z,2026-05-24T15:50:01Z,0,Forse un frigo  in. un grande ristorante?,,0,ilmessaggero,author_4879,0
Ugwf9Wiu35MjLdYSSPR4AaABAg,,2zQ2rvy0DZo,False,author_5544,2026-05-24T15:58:51Z,2026-05-24T15:58:51Z,3,spero non ci sia un giudice che la ascolta,,0,ilmessaggero,author_5544,1
UgwGkUkf90mE8xEowAh4AaABAg.AXBxFchPeXhAXC3ay4oyzL,UgwGkUkf90mE8xEowAh4AaABAg,2zQ2rvy0DZo,True,author_5545,2026-05-24T16:05:28Z,2026-05-24T16:05:28Z,0,"No no questa è furba , non si sa mai se gli danno ragione ..........",UgwGkUkf90mE8xEowAh4AaABAg,1,ilmessaggero,author_5545,1
Ugy9Ggn2T9SXXVmD7PF4AaABAg,,2zQ2rvy0DZo,False,author_5252,2026-05-24T16:10:37Z,2026-05-24T16:10:37Z,13,"Da quando i frigoriferi si attaccano al muro?
Al massimo sono da incasso",,0,ilmessaggero,author_5252,0
Ugz9JXTeJPIEmafLnGF4AaABAg,,2zQ2rvy0DZo,False,author_5546,2026-05-24T16:11:14Z,2026-05-24T16:12:38Z,0,Povera scema lo sai che non si gioca con i frigo,,0,ilmessaggero,author_5546,1
Ugw4tPOxzIOFfW-YtC94AaABAg,,2zQ2rvy0DZo,False,author_5547,2026-05-24T16:18:02Z,2026-05-24T16:18:02Z,1,Non conoscendo la storia non giudico ma il frigorifero dove era e tu dove eri perché se fai causa agli installatori ciò vuol dire che eri nelle vicinanze e cosa stavi facendo?,,0,ilmessaggero,author_5547,1
Ugy-1Ynk1qze7Mpjbk14AaABAg,,2zQ2rvy0DZo,False,author_1757,2026-05-24T16:20:47Z,2026-05-24T16:20:47Z,1,Sveglia!!!!,,0,ilmessaggero,author_1757,0
Ugxu-6rc7drYtlNvIaZ4AaABAg,,2zQ2rvy0DZo,False,author_1901,2026-05-24T16:27:11Z,2026-05-24T16:27:11Z,0,tiro a indovinare... ha anche onlyfans questa...,,0,ilmessaggero,author_1901,1
