comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyF_vWqgnr7Ji1mnBJ4AaABAg,,yxhSFzAMWCY,False,author_1576,2026-05-26T10:13:29Z,2026-05-26T10:13:29Z,4,Dioi😢 mio cosa sta accadendo?,,0,repubblica,author_1576,0
UgzoNwDmDNFBDnmRhEJ4AaABAg,,yxhSFzAMWCY,False,author_1332,2026-05-26T10:28:57Z,2026-05-26T10:32:02Z,4,"Il mondo sta impazzendo! 
È vero, la caduta dei valori è una frottola e anche se fosse non fa danni, anzi, ci rende liberi.
Problemi psichiatrici? Se anche fosse chissà perche sono in aumento esponenziale.",,0,repubblica,author_1332,0
UgxcYJwnKwF8dB8KdkB4AaABAg,,yxhSFzAMWCY,False,author_52,2026-05-26T10:50:40Z,2026-05-26T10:50:40Z,0,"Sentiamo cosa dicono i troll che inneggiano sempre alla invasione di clandestini,pronti a tutto pur di dare colpa sempre au soliti,questo genitore è italiano,che ne dite adesso??? Lo mandiamo fuori dal paese?",,0,repubblica,author_52,1
UgxcYJwnKwF8dB8KdkB4AaABAg.AXGeA03h9G_AXGfXNA6Jyk,UgxcYJwnKwF8dB8KdkB4AaABAg,yxhSFzAMWCY,True,author_1332,2026-05-26T11:02:36Z,2026-05-26T11:02:58Z,0,Adesso che cavolo c' entra!?,UgxcYJwnKwF8dB8KdkB4AaABAg,1,repubblica,author_1332,0
UgxcYJwnKwF8dB8KdkB4AaABAg.AXGeA03h9G_AXGgGQAX7pE,UgxcYJwnKwF8dB8KdkB4AaABAg,yxhSFzAMWCY,True,author_52,2026-05-26T11:09:01Z,2026-05-26T11:09:01Z,0,​author_7696 fosse stato per esempio un marocchino o un pakistano quanti commenti modello lega sarebbero stati già postati secondo te????,UgxcYJwnKwF8dB8KdkB4AaABAg.AXGeA03h9G_AXGfXNA6Jyk,2,repubblica,author_52,1
UgxcYJwnKwF8dB8KdkB4AaABAg.AXGeA03h9G_AXGi-p8a_Ou,UgxcYJwnKwF8dB8KdkB4AaABAg,yxhSFzAMWCY,True,author_1332,2026-05-26T11:24:14Z,2026-05-26T11:26:05Z,0,"​​author_7697 te è razzismo o il problema è reale? Credi davvero che milioni di italiani o di europei vista la svolta verso destra siano tutti razzisti? Io credo di no. Quindi la protesta è rivolta non tanto verso lo straniero ma verso una immigrazione incontrollata che non tutela la sicurezza. Poi in mezzo qualche razzista ci sara sempre ma la protesta proviene dalla gente comune.
Negare il problema fa solo avanzare l' estrema destra",UgxcYJwnKwF8dB8KdkB4AaABAg.AXGeA03h9G_AXGgGQAX7pE,3,repubblica,author_1332,0
UgzXXuGQuUiEvzJNaS94AaABAg,,yxhSFzAMWCY,False,author_215,2026-05-26T15:30:02Z,2026-05-26T15:30:02Z,6,Abbiamo perso le coordinate....quando i bambini diventano vittime dei grandi vuol dire proprio che la societa' ha FAL-LI-TO!!!!!!!!!,,0,repubblica,author_215,1
UgxgWSqI73ji1JfLvCN4AaABAg,,yxhSFzAMWCY,False,author_427,2026-05-26T15:59:42Z,2026-05-26T15:59:42Z,0,Peccato non sia morto nessuno dei 2 😂 era un'ottima occasione per liberarci di 2 napoletani 😂,,0,repubblica,author_427,1
Ugy1CY4n48rA-EoyRRN4AaABAg,,yxhSFzAMWCY,False,author_427,2026-05-26T16:00:25Z,2026-05-26T16:00:25Z,0,Nulla di nuovo a napoli 😂 illegalità è normalità 😂,,0,repubblica,author_427,1
UgyTd1cQz5pI9FoB4Sx4AaABAg,,yxhSFzAMWCY,False,author_1577,2026-05-26T16:32:30Z,2026-05-26T16:32:30Z,0,"Tossico e con problemi psichiatrici 
Il bambino mando lo mandavano a scuola 

I SERVIZI SOCIALI TUTTI IMPEGNATI A VASTO ?

NELLA CITTÁ PIU CRIMINALE DI ITALIA AVETE PAURA VERO ?
MERDE",,0,repubblica,author_1577,1
UgzXXuGQuUiEvzJNaS94AaABAg.AXH988lRwmtAXHGNcjXJG_,UgzXXuGQuUiEvzJNaS94AaABAg,yxhSFzAMWCY,True,author_1577,2026-05-26T16:33:19Z,2026-05-26T16:33:19Z,0,"No 
Hanno fallito i sevizi sociali 

A un tossico malato di mente non si lascia un figlio !
Manco lo mandava a scuola",UgzXXuGQuUiEvzJNaS94AaABAg,1,repubblica,author_1577,1
UgzoNwDmDNFBDnmRhEJ4AaABAg.AXGbfycjzvpAXHGV2CcdGs,UgzoNwDmDNFBDnmRhEJ4AaABAg,yxhSFzAMWCY,True,author_1577,2026-05-26T16:34:19Z,2026-05-26T16:34:19Z,0,"Andrebbero riaperti i manicomi e punto 

Padri come questi tossici e malati di mente non devono stare a casa coi figli 

Ma in strutture idonee",UgzoNwDmDNFBDnmRhEJ4AaABAg,1,repubblica,author_1577,1
UgyTd1cQz5pI9FoB4Sx4AaABAg.AXHGHdX-RbkAXHcsMxnbuj,UgyTd1cQz5pI9FoB4Sx4AaABAg,yxhSFzAMWCY,True,author_1578,2026-05-26T19:58:37Z,2026-05-26T19:58:37Z,2,"Il tuo problema è Napoli, perché secondo te queste cose non succedono da nessun'altra parte?",UgyTd1cQz5pI9FoB4Sx4AaABAg,1,repubblica,author_1578,0
UgyN1_0_W95I8MftPMd4AaABAg,,yxhSFzAMWCY,False,author_1579,2026-05-26T21:22:50Z,2026-05-26T21:22:50Z,0,💔,,0,repubblica,author_1579,0
UgyF_vWqgnr7Ji1mnBJ4AaABAg.AXG_ubyCjHXAXI3J0GT2z2,UgyF_vWqgnr7Ji1mnBJ4AaABAg,yxhSFzAMWCY,True,author_41,2026-05-26T23:58:20Z,2026-05-26T23:58:20Z,1,Ogni tanto metti il naso fuori casa...,UgyF_vWqgnr7Ji1mnBJ4AaABAg,1,repubblica,author_41,0
UgzoNwDmDNFBDnmRhEJ4AaABAg.AXGbfycjzvpAXI3MrEEran,UgzoNwDmDNFBDnmRhEJ4AaABAg,yxhSFzAMWCY,True,author_41,2026-05-26T23:58:51Z,2026-05-26T23:58:51Z,0,Metti il naso fuori casa ogni tanto...,UgzoNwDmDNFBDnmRhEJ4AaABAg,1,repubblica,author_41,1
UgxCr0M7dNJv9eAruRB4AaABAg,,yxhSFzAMWCY,False,author_409,2026-05-27T05:15:48Z,2026-05-27T05:15:48Z,0,😢😢😢😢😢😢😢😢😢😢😢😢,,0,repubblica,author_409,0
