comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxMnhx9K35CIa_L5Wd4AaABAg,,RIdMlHkZj2o,False,author_4138,2026-05-18T16:55:16Z,2026-05-18T16:55:16Z,10,"Basta con queste giustificazioni , troppo spesso si va collocare un reato così grave in una situazione in cui si vuole alleviare l inflizione della pena . 
Sbagli e devi pagare !!",,0,corriere_della_sera,author_4138,1
Ugx_MOb3bumKDGAAZGR4AaABAg,,RIdMlHkZj2o,False,author_723,2026-05-18T17:14:25Z,2026-05-18T17:14:25Z,7,"Anche piandedosi si e' bevuto il cervello ,giorgia mandalo in pensione",,0,corriere_della_sera,author_723,1
UgzLKfdilW-tEjltPaB4AaABAg,,RIdMlHkZj2o,False,author_4139,2026-05-18T17:47:03Z,2026-05-18T17:47:03Z,5,Maledetti politici... passerà per disagiato e disturbato perché non capito.....ADESSO PASSERÀ PER ESSERE COLPA NOSTRA !,,0,corriere_della_sera,author_4139,1
UgzLKfdilW-tEjltPaB4AaABAg.AWxnSjH6egGAWxzMVYMuYL,UgzLKfdilW-tEjltPaB4AaABAg,RIdMlHkZj2o,True,author_4140,2026-05-18T19:31:04Z,2026-05-18T19:31:04Z,0,"Bastava dargli un lavoro vicino a casa, come aveva chiesto",UgzLKfdilW-tEjltPaB4AaABAg,1,corriere_della_sera,author_4140,0
Ugy0t21BPj_JuIygVgF4AaABAg,,RIdMlHkZj2o,False,author_4141,2026-05-18T20:53:35Z,2026-05-18T20:53:35Z,0,Boooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,,0,corriere_della_sera,author_4141,0
UgwyU4zJvZGtjX4MePd4AaABAg,,RIdMlHkZj2o,False,author_4142,2026-05-18T22:00:53Z,2026-05-18T22:00:53Z,0,Ma che stai a' di',,0,corriere_della_sera,author_4142,0
Ugz_W9pT_Wgtgzh6S2R4AaABAg,,RIdMlHkZj2o,False,author_4143,2026-05-19T00:28:36Z,2026-05-19T00:28:36Z,0,Ho letto su internet che Piantedosi e la sua famiglia soffrono di tumore,,0,corriere_della_sera,author_4143,1
Ugy0LiJIwdYmpcWrXH14AaABAg,,RIdMlHkZj2o,False,author_264,2026-05-19T04:23:41Z,2026-05-19T04:23:41Z,0,Mandate piante dosi con la macchina in Marocco a falciare marocchini,,0,corriere_della_sera,author_264,1
UgxowVlpePLcFZKx1h14AaABAg,,RIdMlHkZj2o,False,author_4133,2026-05-19T04:54:45Z,2026-05-19T04:54:45Z,0,Potevi evitare questa tuaopinione,,0,corriere_della_sera,author_4133,0
UgwKI3j1ZbGYuBs1WbV4AaABAg,,RIdMlHkZj2o,False,author_3419,2026-05-19T06:48:37Z,2026-05-19T06:48:37Z,1,Ok caso psichiatrico? Eliminare il soggetto per non farlo gravare sulla spesa sanitaria pubblica! La migliore soluzione.,,0,corriere_della_sera,author_3419,1
UgwL1FiDj4JNE9iZxsR4AaABAg,,RIdMlHkZj2o,False,author_4144,2026-05-19T08:38:57Z,2026-05-19T08:38:57Z,2,Abbasso Piantedosi,,0,corriere_della_sera,author_4144,1
Ugx_MOb3bumKDGAAZGR4AaABAg.AWxjidQWTc3AWzO_KVKBYj,Ugx_MOb3bumKDGAAZGR4AaABAg,RIdMlHkZj2o,True,author_4144,2026-05-19T08:39:23Z,2026-05-19T08:39:23Z,0,Giorgia no sirve pa nada mas,Ugx_MOb3bumKDGAAZGR4AaABAg,1,corriere_della_sera,author_4144,1
UgzLKfdilW-tEjltPaB4AaABAg.AWxnSjH6egGAWzOb7KBfic,UgzLKfdilW-tEjltPaB4AaABAg,RIdMlHkZj2o,True,author_4144,2026-05-19T08:39:38Z,2026-05-19T08:39:38Z,0,Paroli sante,UgzLKfdilW-tEjltPaB4AaABAg,1,corriere_della_sera,author_4144,0
UgwKI3j1ZbGYuBs1WbV4AaABAg.AWzBu7FsJE0AWzOfM-HcZM,UgwKI3j1ZbGYuBs1WbV4AaABAg,RIdMlHkZj2o,True,author_4144,2026-05-19T08:40:12Z,2026-05-19T08:40:12Z,0,Rifondare Manicomi Criminali,UgwKI3j1ZbGYuBs1WbV4AaABAg,1,corriere_della_sera,author_4144,1
UgysUr3seuZbs86MbsZ4AaABAg,,RIdMlHkZj2o,False,author_4145,2026-05-19T19:00:48Z,2026-05-19T19:00:48Z,2,"Il ministro ha estrema necessità di cure psichiatriche , dev'essere subito internato",,0,corriere_della_sera,author_4145,1
Ugy5rVGaQUkNAebZ-gJ4AaABAg,,RIdMlHkZj2o,False,author_2593,2026-05-20T16:08:28Z,2026-05-20T16:08:28Z,0,Ma taci. Non è il ministro degli interni che deve appurare certe cose.,,0,corriere_della_sera,author_2593,1
Ugx_MOb3bumKDGAAZGR4AaABAg.AWxjidQWTc3AX1lpfrgeed,Ugx_MOb3bumKDGAAZGR4AaABAg,RIdMlHkZj2o,True,author_2593,2026-05-20T16:09:03Z,2026-05-20T16:09:03Z,0,uno che chiama il presidente del consiglio per nome ...,Ugx_MOb3bumKDGAAZGR4AaABAg,1,corriere_della_sera,author_2593,1
Ugx1VS6OBnC63QlEMER4AaABAg,,RIdMlHkZj2o,False,author_432,2026-05-21T06:58:42Z,2026-05-21T06:59:39Z,1,"Avete votato No al referendum, ecco il risultato! Ringraziamo la solita toga rossa buonista e garantista!",,0,corriere_della_sera,author_432,1
UgxMnhx9K35CIa_L5Wd4AaABAg.AWxhXRbppRWAX3Mr4QGEVT,UgxMnhx9K35CIa_L5Wd4AaABAg,RIdMlHkZj2o,True,author_432,2026-05-21T07:00:32Z,2026-05-21T07:00:32Z,0,D'accordissimo,UgxMnhx9K35CIa_L5Wd4AaABAg,1,corriere_della_sera,author_432,0
UgzBA3KmtCzswZojk1N4AaABAg,,RIdMlHkZj2o,False,author_3938,2026-05-21T14:41:26Z,2026-05-21T14:41:26Z,0,VOMITO,,0,corriere_della_sera,author_3938,1
