comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy2N7DeL63fFhP5SQx4AaABAg,,BNuvGWhE3Ec,False,author_3371,2026-05-25T16:34:51Z,2026-05-25T16:34:51Z,0,"Dovrebbe spazzare via, tutto, lasciare il deserto in iran",,0,corriere_della_sera,author_3371,1
Ugwl5R0CgANRXcuqght4AaABAg,,BNuvGWhE3Ec,False,author_709,2026-05-25T16:38:35Z,2026-05-25T16:38:35Z,6,😂😂stavolta ha avvisato l Iran? 😂😂😂,,0,corriere_della_sera,author_709,0
UgwM47NhEZx-2e_BKTR4AaABAg,,BNuvGWhE3Ec,False,author_3372,2026-05-25T17:47:41Z,2026-05-25T17:47:41Z,4,ancora date credito a sto cialtrone,,0,corriere_della_sera,author_3372,1
Ugx41cw8Pm_Ga88B_L94AaABAg,,BNuvGWhE3Ec,False,author_3373,2026-05-25T17:51:56Z,2026-05-25T17:51:56Z,6,"Possibile vivere con questi pazzoidi,giocano sulla pelle della gente.",,0,corriere_della_sera,author_3373,1
UgwExdMduSGPncUXLtJ4AaABAg,,BNuvGWhE3Ec,False,author_3374,2026-05-25T18:34:30Z,2026-05-25T18:34:30Z,0,President Donald Trump please HRLP the PHILIPPINES. The Admin is helping the ICC to prosecute all thier RIVALS to HUAGE. Marcos jr. Is now a DICTATOR like his father.,,0,corriere_della_sera,author_3374,1
UgxKCcNZ8vaPakVjuZF4AaABAg,,BNuvGWhE3Ec,False,author_3325,2026-05-25T18:36:47Z,2026-05-25T18:36:47Z,5,Far passare come una vittoria lo stop temporaneo d un  guaio creato da loro stessi (come si può non chiamarli buffoni ?!),,0,corriere_della_sera,author_3325,1
UgwExdMduSGPncUXLtJ4AaABAg.AXEuSL-4qcCAXEvADFq97p,UgwExdMduSGPncUXLtJ4AaABAg,BNuvGWhE3Ec,True,author_3375,2026-05-25T18:40:46Z,2026-05-25T18:40:46Z,2,"E chiedi aiuto proprio agli Usa?
Bravo.
Hai capito tutto della vita",UgwExdMduSGPncUXLtJ4AaABAg,1,corriere_della_sera,author_3375,0
UgxjmNR09Xey55VJrSV4AaABAg,,BNuvGWhE3Ec,False,author_3376,2026-05-25T19:08:51Z,2026-05-25T19:08:51Z,8,Ma gli Iraniani lo sanno?,,0,corriere_della_sera,author_3376,1
UgzgS_JnKkITNO515vp4AaABAg,,BNuvGWhE3Ec,False,author_3363,2026-05-25T19:57:43Z,2026-05-25T19:57:43Z,2,...e intanto questo cialtrone e i suoi accoliti fanno bei soldi...,,0,corriere_della_sera,author_3363,1
Ugy2N7DeL63fFhP5SQx4AaABAg.AXEgl2AwXL-AXF32aRI2t9,Ugy2N7DeL63fFhP5SQx4AaABAg,BNuvGWhE3Ec,True,author_3363,2026-05-25T19:58:22Z,2026-05-25T19:58:22Z,2,Cominciamo da casa tua...vedo un deserto intellettuale pauroso...,Ugy2N7DeL63fFhP5SQx4AaABAg,1,corriere_della_sera,author_3363,1
UgzCax_FYI7_BOQ17yd4AaABAg,,BNuvGWhE3Ec,False,author_3377,2026-05-25T20:00:55Z,2026-05-25T20:00:55Z,0,Buffoni gli uni e gli altri.,,0,corriere_della_sera,author_3377,1
Ugy2N7DeL63fFhP5SQx4AaABAg.AXEgl2AwXL-AXF75LjKf-G,Ugy2N7DeL63fFhP5SQx4AaABAg,BNuvGWhE3Ec,True,author_3378,2026-05-25T20:33:42Z,2026-05-25T20:33:42Z,2,Tu saresti quello intelligente della famiglia…???,Ugy2N7DeL63fFhP5SQx4AaABAg,1,corriere_della_sera,author_3378,1
