comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxYUvXk0sAuq0O9rsx4AaABAg,,zO2XylesnrE,False,author_749,2026-05-26T13:21:42Z,2026-05-26T13:21:42Z,6,Ma speriamo,,0,repubblica,author_749,0
UgzAj6IiCkgr0YWr5OV4AaABAg,,zO2XylesnrE,False,author_750,2026-05-26T13:25:33Z,2026-05-26T13:25:33Z,7,Ci vogliono 30 anni per il nucleare...siete degli incompetenti,,0,repubblica,author_750,1
UgzAj6IiCkgr0YWr5OV4AaABAg.AXGvtMa_ivfAXGvyC2scUh,UgzAj6IiCkgr0YWr5OV4AaABAg,zO2XylesnrE,True,author_751,2026-05-26T13:26:13Z,2026-05-26T13:26:13Z,2,Svegliati,UgzAj6IiCkgr0YWr5OV4AaABAg,1,repubblica,author_751,0
UgzLpi1--Ca847JPVeZ4AaABAg,,zO2XylesnrE,False,author_752,2026-05-26T13:27:06Z,2026-05-26T13:27:06Z,3,"Crollano i ponti...le case...e vogliamo riportare il nucleare in Italia sapendo i problemi che abbiamo con appalti, mafia, e degrado strutture statali? Per me avete problemi seri...",,0,repubblica,author_752,1
UgzAj6IiCkgr0YWr5OV4AaABAg.AXGvtMa_ivfAXGwUUbyj2h,UgzAj6IiCkgr0YWr5OV4AaABAg,zO2XylesnrE,True,author_753,2026-05-26T13:30:45Z,2026-05-26T13:30:45Z,1,Loro so incompetenti,UgzAj6IiCkgr0YWr5OV4AaABAg,1,repubblica,author_753,1
UgzMFKH_6zo1qHGTWQN4AaABAg,,zO2XylesnrE,False,author_754,2026-05-26T13:36:41Z,2026-05-26T13:36:41Z,2,"Sperando che gli italiani siano  meno rimbambiti di quando si votò contro!  Io votai a favore, quelli che votarono contro adesso si lamentano del caro luce e caro benzina!",,0,repubblica,author_754,1
UgyC-oj3Gnx6TlEb8-h4AaABAg,,zO2XylesnrE,False,author_755,2026-05-26T13:39:12Z,2026-05-26T13:39:12Z,1,non va bene pensate ai casi più urgenti ma come sempre ci sono interessi ormai la politica va cosi😢,,0,repubblica,author_755,0
UgyC-oj3Gnx6TlEb8-h4AaABAg.AXGxSKuiQ1WAXGxeRq-QaU,UgyC-oj3Gnx6TlEb8-h4AaABAg,zO2XylesnrE,True,author_756,2026-05-26T13:40:59Z,2026-05-26T13:40:59Z,1,"Ma sei rimbambito? Col costo dell'energia attuale, questo è un caso urgente da 20 anni ormai.",UgyC-oj3Gnx6TlEb8-h4AaABAg,1,repubblica,author_756,1
UgzLpi1--Ca847JPVeZ4AaABAg.AXGw3p88pHvAXGxkEzxhIK,UgzLpi1--Ca847JPVeZ4AaABAg,zO2XylesnrE,True,author_756,2026-05-26T13:41:46Z,2026-05-26T13:41:46Z,1,I problemi seri son aver ascolatato i comunisti e chi ancora crede alle loro stronzate.,UgzLpi1--Ca847JPVeZ4AaABAg,1,repubblica,author_756,1
UgzMFKH_6zo1qHGTWQN4AaABAg.AXGx9x-VP2YAXGxpxtdPU7,UgzMFKH_6zo1qHGTWQN4AaABAg,zO2XylesnrE,True,author_757,2026-05-26T13:42:33Z,2026-05-26T13:42:33Z,0,"Se si azzardano ad andare contro la volontà popolare succederà un casino. Ci sono decine di modi non così inquinanti per produrre energia, è giusto mettere in atto quelli.",UgzMFKH_6zo1qHGTWQN4AaABAg,1,repubblica,author_757,0
UgyIrwOz9L7H2HjqeJV4AaABAg,,zO2XylesnrE,False,author_758,2026-05-26T13:43:17Z,2026-05-26T13:43:17Z,0,Giorgetta sei circondata da lobbisti dinosauri per te l'alleanza con quella specie di pitecantropo di Salviniamoci ti massacra.      Giorgia apri gli occhi,,0,repubblica,author_758,1
UgzAj6IiCkgr0YWr5OV4AaABAg.AXGvtMa_ivfAXGy3ZbHKfL,UgzAj6IiCkgr0YWr5OV4AaABAg,zO2XylesnrE,True,author_757,2026-05-26T13:44:33Z,2026-05-26T13:44:33Z,3,Quando eleggi una col quinto superiore questi sono i risultati. Il problema è che dall’altra parte c’è il vuoto cosmico.,UgzAj6IiCkgr0YWr5OV4AaABAg,1,repubblica,author_757,1
UgzQo-LIBROY-zl3b314AaABAg,,zO2XylesnrE,False,author_759,2026-05-26T13:45:15Z,2026-05-26T13:45:15Z,17,"State tranquilli che anche col nucleare,avremo le bollette care come il sangue.
I politici a intascare sono i n°1",,0,repubblica,author_759,1
UgzMFKH_6zo1qHGTWQN4AaABAg.AXGx9x-VP2YAXGyhZEiHth,UgzMFKH_6zo1qHGTWQN4AaABAg.AXGx9x-VP2YAXGxpxtdPU7,zO2XylesnrE,True,author_754,2026-05-26T13:50:09Z,2026-05-26T13:50:22Z,0,"​​author_757 quindi lei ha già  i dati ufficiali che la maggioranza degli italiani non vuole il nucleare? Me li mandi  grazie!
Non scappi come spesso fanno coloro ai quali viene richiesta una domanda precisa!!",UgzMFKH_6zo1qHGTWQN4AaABAg.AXGx9x-VP2YAXGxpxtdPU7,2,repubblica,author_754,0
UgwU9OjpW0tKAsU3Ax14AaABAg,,zO2XylesnrE,False,author_194,2026-05-26T13:51:04Z,2026-05-26T13:51:04Z,0,Si ma se succede una roba tipo Chernobyl?😰,,0,repubblica,author_194,1
UgwrPNgqjXEsGI2I2414AaABAg,,zO2XylesnrE,False,author_760,2026-05-26T14:05:53Z,2026-05-26T14:05:53Z,0,"Non sono neanche LONTANAMENTE un fan della Meloni, ma apprezzo la svolta sul nucleare, è importante che si cominci ad’investire in tecnologie green",,0,repubblica,author_760,0
Ugz1L0Iwl4p7jB8fgY94AaABAg,,zO2XylesnrE,False,author_761,2026-05-26T14:13:50Z,2026-05-26T14:13:50Z,5,Speriamo che non sia come per il ponte di Messina.,,0,repubblica,author_761,0
UgzMFKH_6zo1qHGTWQN4AaABAg.AXGx9x-VP2YAXH0e1YnD4R,UgzMFKH_6zo1qHGTWQN4AaABAg.AXGx9x-VP2YAXGyhZEiHth,zO2XylesnrE,True,author_11,2026-05-26T14:15:53Z,2026-05-26T14:15:59Z,0,​​author_7339 è che si stava tanto bene a comprare il gas dalla Russia al 50% di quello che si compra almeno da guerra fondai americani🤷🏻‍♂️,UgzMFKH_6zo1qHGTWQN4AaABAg.AXGx9x-VP2YAXGyhZEiHth,3,repubblica,author_11,0
UgzLpi1--Ca847JPVeZ4AaABAg.AXGw3p88pHvAXH0sJe4IQt,UgzLpi1--Ca847JPVeZ4AaABAg.AXGw3p88pHvAXGxkEzxhIK,zO2XylesnrE,True,author_11,2026-05-26T14:17:50Z,2026-05-26T14:17:50Z,0,​author_7340 perché avete sempre la parola comunismo in bocca la meloni l'altra volta addirittura dice la sinistra non conosce la io se la porto la conosci il mio nonno e la mia nonna di sinistra che hanno vissuto il ventennio buio il loro la democrazia la conoscono è pure votano a sinistra quindi il discorso della meloni non ha proprio senso come si permette,UgzLpi1--Ca847JPVeZ4AaABAg.AXGw3p88pHvAXGxkEzxhIK,2,repubblica,author_11,0
UgxlK8uZwAFYNSDX2pF4AaABAg,,zO2XylesnrE,False,author_11,2026-05-26T14:18:06Z,2026-05-26T14:19:30Z,2,"C'era una volta il gas ed energia che veniva dalla Russia 🤷🏻‍♂️
Invece ora ci facciamo inculare dau guerra fondai americani prendendolo ad un prezzo veramente assurdo uguale l energia 🤦🏻‍♂️",,0,repubblica,author_11,1
UgyYnPTHSACzpQ5Tcbt4AaABAg,,zO2XylesnrE,False,author_647,2026-05-26T14:19:38Z,2026-05-26T14:19:38Z,6,10 anni per farlo funzionare e le scorie interrate per non pagare ....baci a tutti,,0,repubblica,author_647,1
UgzLpi1--Ca847JPVeZ4AaABAg.AXGw3p88pHvAXH1BpGVe5G,UgzLpi1--Ca847JPVeZ4AaABAg,zO2XylesnrE,True,author_647,2026-05-26T14:20:38Z,2026-05-26T14:20:38Z,0,​author_7341 ascoltare i fascisti di merd@ ....😂😂😂😂,UgzLpi1--Ca847JPVeZ4AaABAg.AXGw3p88pHvAXGxkEzxhIK,2,repubblica,author_647,1
UgxcyqdhPnSO0i91gOF4AaABAg,,zO2XylesnrE,False,author_68,2026-05-26T14:26:24Z,2026-05-26T14:26:24Z,4,"Così, quando fra 30 anni le centrali saranno operative (e gestite da ogni mafia possibile immaginabile), nel resto del mondo le auto voleranno e l'energia sarà prodotta dall'idrogeno.",,0,repubblica,author_68,1
UgzQo-LIBROY-zl3b314AaABAg.AXGy8jg9beBAXH2-3pUggE,UgzQo-LIBROY-zl3b314AaABAg,zO2XylesnrE,True,author_139,2026-05-26T14:27:37Z,2026-05-26T14:27:37Z,0,Fattuale,UgzQo-LIBROY-zl3b314AaABAg,1,repubblica,author_139,0
UgxDnttA5IzTfEjjb-94AaABAg,,zO2XylesnrE,False,author_762,2026-05-26T14:27:50Z,2026-05-26T14:27:50Z,6,Sarebbe anche ORA!,,0,repubblica,author_762,0
Ugz1lafJS86OhTWipGx4AaABAg,,zO2XylesnrE,False,author_20,2026-05-26T14:30:27Z,2026-05-26T14:30:27Z,0,"In Italia sta cosa non si può fare. 
Basta vedere cosa hanno fatto per l'inceneritore, Roma e piena de sorci e monnezza.",,0,repubblica,author_20,1
UgxlK8uZwAFYNSDX2pF4AaABAg.AXH0uIu-zfTAXH2Ni6ZwM3,UgxlK8uZwAFYNSDX2pF4AaABAg,zO2XylesnrE,True,author_20,2026-05-26T14:30:59Z,2026-05-26T14:30:59Z,1,La Russia non è guerrafondaia?,UgxlK8uZwAFYNSDX2pF4AaABAg,1,repubblica,author_20,0
UgwoItPDauCshG4yzmN4AaABAg,,zO2XylesnrE,False,author_763,2026-05-26T14:31:15Z,2026-05-26T14:31:15Z,0,"1 Ma i referendum a che cazzo servono, 2 abbiamo oggi un problema energetico e non fra 15/20 anni prima che una centrale entri in produzione, voi le rinnovabili non le volete, non le incentivate ma a rompere il cazzo ai poveri per far sostituire l'auto siete bravissimi!
3 Ma che te lo dico a fare, non sono complimenti..",,0,repubblica,author_763,1
Ugzz56K8iO4nUtpVpip4AaABAg,,zO2XylesnrE,False,author_764,2026-05-26T14:31:43Z,2026-05-26T14:31:43Z,1,Avete dato 700 miliardi al americani per il gas .. siete dei servi.  ..... piu il 5 prr 100 in spese militari ... sempre su ordine made in Usa..... via via .... ce qualche politico in italia che puo  agire libero ? Nn credo ... la meloni evtt il governo contano cm il 2 di picche....,,0,repubblica,author_764,1
