comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugxmz58TSLn-2dUMHtN4AaABAg,,rwSdg33_45g,False,author_1442,2026-05-12T10:32:04Z,2026-05-12T10:32:04Z,0,Fatto bene a negare i fondi x uno che poteva restare a casa sua no a rompere le p...e in Egitto credendo di essere in Italia,,0,il_gazzettino,author_1442,1
UgyIEg1lFIdNDjKT9JJ4AaABAg,,rwSdg33_45g,False,author_3082,2026-05-12T11:13:01Z,2026-05-12T11:13:01Z,0,La responsabilità delle scelte ricade sul Ministro....non sullo staff che non ha potere decisionale....buffone😂😂😂😂,,0,il_gazzettino,author_3082,1
UgzycQyVn3zXEl-kGlx4AaABAg,,rwSdg33_45g,False,author_283,2026-05-12T11:16:15Z,2026-05-12T11:16:15Z,0,"Ministro sgangherato , hai licenziato perché la cosa ha suscitato sdegno . Uomo sgangherato non meriti di rappresentare un PAESE con tante bellezze naturali o fatte dall'uomo . Devi ANDARTENE.🤮🤮🤮🤮🤮🤮🤮🤮🤮",,0,il_gazzettino,author_283,1
Ugx0E7fMdviRILb-gbl4AaABAg,,rwSdg33_45g,False,author_462,2026-05-12T11:17:17Z,2026-05-12T11:17:17Z,0,Che cattivone...,,0,il_gazzettino,author_462,0
Ugw97_-t4bOpngC6Htt4AaABAg,,rwSdg33_45g,False,author_4019,2026-05-12T13:25:56Z,2026-05-12T13:25:56Z,4,Ma se non sapete ancora la verità che film volevate fare?,,0,il_gazzettino,author_4019,0
Ugw1FToM3stUSJui6GJ4AaABAg,,rwSdg33_45g,False,author_4068,2026-05-12T14:40:37Z,2026-05-12T14:40:37Z,0,La mano destra non sa cosa fa la mano sinistra.....,,0,il_gazzettino,author_4068,0
UgxPUlkKB94bM9h5weF4AaABAg,,rwSdg33_45g,False,author_4412,2026-05-12T16:25:10Z,2026-05-12T16:25:10Z,0,"C'è stato abbastanza casino sulla menata di questo Reggeni ne abbiamo fin sopra la testa di stronzate in Italia, ringraziate che abbiamo un bravo presidente del consiglio che ha sopportato i rompicoglioni che se ci fosse stato qualcun'altro al suo posto a calci in culo vi prendeva avete stufato anche i sassi 😡😡😡😡😡😡😡",,0,il_gazzettino,author_4412,1
UgzA1rsI0PhTwRDfND14AaABAg,,rwSdg33_45g,False,author_6904,2026-05-12T16:34:04Z,2026-05-12T16:34:04Z,0,Bravo!,,0,il_gazzettino,author_6904,0
UgzaInM0iG04Tp-OJuV4AaABAg,,rwSdg33_45g,False,author_4652,2026-05-12T17:15:08Z,2026-05-12T17:15:08Z,2,Ancora  con sto regeni...,,0,il_gazzettino,author_4652,1
UgxOxCOXEMsb1pZud9p4AaABAg,,rwSdg33_45g,False,author_4652,2026-05-12T17:15:31Z,2026-05-12T17:15:31Z,0,Buffonate sinistre,,0,il_gazzettino,author_4652,1
UgwsdRFwxavAJuoKie54AaABAg,,rwSdg33_45g,False,author_6905,2026-05-12T17:53:53Z,2026-05-12T17:53:53Z,1,Scusate ..cge ha fatto de buono quedto Regeni???    Perche' era in Egitto..a fare che?? ....me puzza  .....,,0,il_gazzettino,author_6905,1
UgzaInM0iG04Tp-OJuV4AaABAg.AWiI1dU0bxtAWiMklNbPZl,UgzaInM0iG04Tp-OJuV4AaABAg,rwSdg33_45g,True,author_6905,2026-05-12T17:56:23Z,2026-05-12T17:56:23Z,0,Che palle........,UgzaInM0iG04Tp-OJuV4AaABAg,1,il_gazzettino,author_6905,0
UgwdYp-rlLnmZEFZntR4AaABAg,,rwSdg33_45g,False,author_4351,2026-05-12T22:52:13Z,2026-05-12T22:52:13Z,0,Dovrebbe licenziare se stesso,,0,il_gazzettino,author_4351,1
UgxxLfI5t_foB-m1q814AaABAg,,rwSdg33_45g,False,author_3771,2026-05-13T08:42:59Z,2026-05-13T08:42:59Z,0,Questa è la destra italiana 😂😂😂,,0,il_gazzettino,author_3771,1
Ugw97_-t4bOpngC6Htt4AaABAg.AWhso11UCd_AWp-397BDcS,Ugw97_-t4bOpngC6Htt4AaABAg,rwSdg33_45g,True,author_4247,2026-05-15T07:44:00Z,2026-05-15T07:44:00Z,0,Dinformazione,Ugw97_-t4bOpngC6Htt4AaABAg,1,il_gazzettino,author_4247,1
