comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyqqYjd9R_Gh7IStXd4AaABAg,,MyxZuUdktjU,False,author_1129,2026-05-23T15:56:54Z,2026-05-23T15:56:54Z,4,Immagini forti😂😂😂,,0,repubblica,author_1129,1
UgwWqZkNGmW8rvrPVah4AaABAg,,MyxZuUdktjU,False,author_3116,2026-05-23T15:59:14Z,2026-05-23T15:59:14Z,0,"Do inizio io alla conversazione: qua siamo sul  social di repubblica..
ebbene chi scrive in questo quotidiano come commenta? Serra x esempio.Disagio sociale, mancata integrazione( colpa del governo), turbe psichiche giovanili( colpa del governo), l: inadeguatezza della scuola (colpe del governo), deriva giovanile (colpa del governo) criminalità'  minorile in aumento( colpa del governo), percezione d' insicurezza( colpa del governo), emergenza abitativa( colpa del governo)...
devo continuare...

andate a farvi fott..",,0,repubblica,author_3116,1
UgwUuyB2oAxf9GGZn094AaABAg,,MyxZuUdktjU,False,author_1851,2026-05-23T16:09:06Z,2026-05-23T16:09:06Z,0,Un soggiorno nel lager in Albania .,,0,repubblica,author_1851,1
UgycklrIf3PDbfeblA54AaABAg,,MyxZuUdktjU,False,author_964,2026-05-23T16:12:18Z,2026-05-23T16:12:18Z,4,Lo Stato?,,0,repubblica,author_964,0
Ugw_Ondh6ZCQrP0huWB4AaABAg,,MyxZuUdktjU,False,author_3117,2026-05-23T16:15:22Z,2026-05-23T16:15:22Z,3,MI sento preso in causa,,0,repubblica,author_3117,0
UgzsIIptslEVRoNDyw94AaABAg,,MyxZuUdktjU,False,author_3118,2026-05-23T16:32:08Z,2026-05-23T16:32:08Z,26,"Bene.
Ora si dovrebbero prendere e fargli fare 1 anno a pane e acqua e lavoro duro per i prossimi 10 anni. Vediamo poi 😮",,0,repubblica,author_3118,1
UgxpDA-AptT9wmvCzvZ4AaABAg,,MyxZuUdktjU,False,author_3119,2026-05-23T16:33:22Z,2026-05-23T16:33:22Z,0,Terribile,,0,repubblica,author_3119,0
UgwAuwNqSYo2j-CX-_x4AaABAg,,MyxZuUdktjU,False,author_3120,2026-05-23T16:37:44Z,2026-05-23T16:37:44Z,58,Bisogna arrestare i genitori!!!,,0,repubblica,author_3120,1
UgxEBti33GpEfA6c-4p4AaABAg,,MyxZuUdktjU,False,author_3121,2026-05-23T16:49:00Z,2026-05-23T16:49:00Z,0,Ora voglio vedere cosa succede a questi delinquenti...perché ho l'impressione che la situazione dell'ordine pubblico sta sfuggendo di mano....ormai non c'è da stupirsi più di niente....,,0,repubblica,author_3121,1
UgxWGql_eQy8vtNBSSV4AaABAg,,MyxZuUdktjU,False,author_3122,2026-05-23T16:50:18Z,2026-05-23T16:50:18Z,4,Quali immagini,,0,repubblica,author_3122,0
Ugw8ZyVaLJf7PlvwKqh4AaABAg,,MyxZuUdktjU,False,author_3123,2026-05-23T16:50:44Z,2026-05-23T16:50:44Z,0,"Evidentemente questi 4 mocciosi non sanno come passare le giornate . Lo Stato li mettesse a zappare dalla mattina alla sera vedrai che gli passa la fantasia di fare i bulli di quartiere . 
Poi se propio volete fare i bulli fateli con chi dico io , ah no li vi caghereste addosso dopo 1 minuto.",,0,repubblica,author_3123,1
UgwTJL_yhzpE67AuCAR4AaABAg,,MyxZuUdktjU,False,author_3122,2026-05-23T16:50:55Z,2026-05-23T16:50:55Z,87,Perché tutto oscurato? Tutti devono sapere chi sono,,0,repubblica,author_3122,1
UgyQ-OgQILjd7Wie9vZ4AaABAg,,MyxZuUdktjU,False,author_185,2026-05-23T16:51:34Z,2026-05-23T16:52:29Z,26,"Questi ragazzi dimostrano l’inadeguatezza dei genitori , infantili , distratti ed ego riferiti . C’è un totale abbandono dei figli che crescono chiusi nelle loro camerette immersi nella realtà effimera dei social o per strada senza le regole base di convivenza . Altro che famiglia nel bosco! Conosco decine di genitori ai quali andrebbero tolti i figli . ALTROCHÉ!!",,0,repubblica,author_185,1
UgzmRGWdjXPrUYI6ttd4AaABAg,,MyxZuUdktjU,False,author_3124,2026-05-23T17:10:27Z,2026-05-23T17:10:27Z,0,Arrestateli,,0,repubblica,author_3124,0
UgyLS786yuYLD_j4rPV4AaABAg,,MyxZuUdktjU,False,author_3125,2026-05-23T17:13:48Z,2026-05-23T17:13:48Z,23,Social media da bannare prima dei 18 anni e loro sono degli sterchi senza anima.,,0,repubblica,author_3125,1
UgyakTCbh5PWajvJLfB4AaABAg,,MyxZuUdktjU,False,author_3126,2026-05-23T17:15:20Z,2026-05-23T17:15:20Z,0,mannooo,,0,repubblica,author_3126,0
UgyqB4pytc8CZwyd_kl4AaABAg,,MyxZuUdktjU,False,author_3127,2026-05-23T17:23:21Z,2026-05-23T17:23:21Z,0,"Caricarli su un Tupolev e via sei mesi a Pyongyang a inchinarsi davanti alla statua dei leader, con tutte le conseguenze nordcoreane del caso se non lo vorranno fare.",,0,repubblica,author_3127,1
Ugyipo31fdG34VU29MN4AaABAg,,MyxZuUdktjU,False,author_3128,2026-05-23T17:29:11Z,2026-05-23T17:29:11Z,28,Strano si chiama Omar!!!!,,0,repubblica,author_3128,0
Ugz3nyydt7lSnQG5UVd4AaABAg,,MyxZuUdktjU,False,author_1263,2026-05-23T17:40:16Z,2026-05-23T17:40:16Z,0,"Lasciate questi cretini vigliacchi in uno stanzone chiuso con un gruppo di judoka o karateki. Poi magari ci ripensano ….
Ah, mettiamoci pure i genitori",,0,repubblica,author_1263,1
UgyUIhiTuOQa55O7QH94AaABAg,,MyxZuUdktjU,False,author_83,2026-05-23T17:42:24Z,2026-05-23T17:42:24Z,6,Risorse o psicologicamente instabili? Dai tirate fuori qualche altro motivo per giustificarli. E comunque mattarella ha la grazia pronta per tutti,,0,repubblica,author_83,1
UgyXituHszlygvrpp094AaABAg,,MyxZuUdktjU,False,author_1511,2026-05-23T17:44:38Z,2026-05-23T17:44:38Z,0,Lo vogliamo dire che sono figli di marocchini misulmani senza rispetto per le leggi italiane. O lo vogliamo omettere,,0,repubblica,author_1511,1
UgxCgDpW-t0acFQyiSR4AaABAg,,MyxZuUdktjU,False,author_3129,2026-05-23T17:46:29Z,2026-05-23T17:46:29Z,7,Ci pagheranno le pensioni....😂,,0,repubblica,author_3129,1
UgzPwnV15QfxsZsMbpN4AaABAg,,MyxZuUdktjU,False,author_3130,2026-05-23T17:46:54Z,2026-05-23T17:46:54Z,5,"Tra poco inizia la stagione estiva, non capisco perché la legge non preveda aiuto gratuito ai nostri contadini, sono così forti li avete visti.",,0,repubblica,author_3130,0
Ugx11IyXbjmPFmV6CS94AaABAg,,MyxZuUdktjU,False,author_52,2026-05-23T17:49:27Z,2026-05-23T17:49:27Z,1,"A mio parere gli adulti devono cominciare a dare dei sonori ceffoni a questi ragazzetti, direi a 2 alla volta finché diventano dispari. Con un po' di buona volontà dopo poco cambieranno atteggiamento,se poi ti denunciano pazienza intanto ti sistemo per le feste. 50 anni fa se facevi una cisa simile a casa ne prendevi una valanga di sberloni",,0,repubblica,author_52,1
Ugyipo31fdG34VU29MN4AaABAg.AX9dO9BvqUtAX9fopTgTXK,Ugyipo31fdG34VU29MN4AaABAg,MyxZuUdktjU,True,author_631,2026-05-23T17:50:26Z,2026-05-23T17:50:26Z,3,Ho pensato la stessa cosa...,Ugyipo31fdG34VU29MN4AaABAg,1,repubblica,author_631,0
UgyXjQ7sfid6i1NbZ9d4AaABAg,,MyxZuUdktjU,False,author_3131,2026-05-23T17:55:39Z,2026-05-23T17:55:39Z,0,ecco perché la politica li fa entrare. se non vengono arrestati bisogna girare con la pistola e andare a prendere anche i politici,,0,repubblica,author_3131,1
UgwUlY-6co4Yh3dDI0t4AaABAg,,MyxZuUdktjU,False,author_3132,2026-05-23T17:56:24Z,2026-05-23T17:56:24Z,0,"Vanno arrestati anche i genitori, va tolta la casa ai genitori.
Bastardi",,0,repubblica,author_3132,1
